order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
3,3×3,15,21,,14.25,Simul_-45deg,7.0,2.48,,14.25,0.0,4.75,2.0
3,3×3,16,21,,15.2,Simul_+45deg,24.8,8.25,,15.2,0.0,5.700000000000001,2.0
3,3×3,16,21,,15.2,Simul_+0deg,10.9,3.59,,15.2,0.0,5.700000000000001,2.0
3,3×3,16,21,,15.2,Simul_-45deg,6.8,2.42,,15.2,0.0,5.700000000000001,2.0
3,3×3,17,21,,16.15,Simul_+45deg,24.6,8.17,,16.15,0.0,6.649999999999999,2.0
3,3×3,17,21,,16.15,Simul_+0deg,7.5,2.56,,16.15,0.0,6.649999999999999,2.0
3,3×3,17,21,,16.15,Simul_-45deg,7.3,2.53,,16.15,0.0,6.649999999999999,2.0
3,3×3,18,21,,17.1,Simul_+45deg,23.3,7.75,,17.099999999999998,0.0,7.600000000000001,2.0
3,3×3,18,21,,17.1,Simul_+0deg,7.3,2.5,,17.099999999999998,0.0,7.600000000000001,2.0
3,3×3,18,21,,17.1,Simul_-45deg,6.9,2.43,,17.099999999999998,0.0,7.600000000000001,2.0
3,3×3,19,21,,18.05,Simul_+45deg,21.5,7.12,,18.05,0.0,8.55,2.0
3,3×3,19,21,,18.05,Simul_+0deg,5.2,1.99,,18.05,0.0,8.55,2.0
3,3×3,19,21,,18.05,Simul_-45deg,6.4,2.29,,18.05,0.0,8.55,2.0
3,3×3,20,21,,19.0,Simul_+45deg,20.2,6.64,,19.0,0.0,9.5,2.0
3,3×3,20,21,,19.0,Simul_+0deg,5.1,1.98,,19.0,0.0,9.5,2.0
3,3×3,20,21,,19.0,Simul_-45deg,6.3,2.31,,19.0,0.0,9.5,2.0
5,5×5,0,21,,0.0,Simul_+60deg,8.7,2.98,,0.0,0.0,-9.5,2.0
5,5×5,0,21,,0.0,Simul_+30deg,5.5,2.12,,0.0,0.0,-9.5,2.0
5,5×5,0,21,,0.0,Simul_+0deg,7.5,2.64,,0.0,0.0,-9.5,2.0
5,5×5,0,21,,0.0,Simul_-30deg,17.4,5.74,,0.0,0.0,-9.5,2.0
5,5×5,0,21,,0.0,Simul_-60deg,24.3,8.02,,0.0,0.0,-9.5,2.0
5,5×5,1,21,,0.95,Simul_+60deg,8.9,3.01,,0.95,0.0,-8.55,2.0
5,5×5,1,21,,0.95,Simul_+30deg,5.2,2.04,,0.95,0.0,-8.55,2.0
5,5×5,1,21,,0.95,Simul_+0deg,7.6,2.66,,0.95,0.0,-8.55,2.0
5,5×5,1,21,,0.95,Simul_-30deg,16.6,5.47,,0.95,0.0,-8.55,2.0
5,5×5,1,21,,0.95,Simul_-60deg,23.4,7.6,,0.95,0.0,-8.55,2.0
5,5×5,2,21,,1.9,Simul_+60deg,9.4,3.2,,1.9,0.0,-7.6,2.0
5,5×5,2,21,,1.9,Simul_+30deg,4.8,1.91,,1.9,0.0,-7.6,2.0
5,5×5,2,21,,1.9,Simul_+0deg,9.6,3.27,,1.9,0.0,-7.6,2.0
5,5×5,2,21,,1.9,Simul_-30deg,19.9,6.56,,1.9,0.0,-7.6,2.0
5,5×5,2,21,,1.9,Simul_-60deg,21.8,7.2,,1.9,0.0,-7.6,2.0
5,5×5,3,21,,2.85,Simul_+60deg,9.2,3.11,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,3,21,,2.85,Simul_+30deg,4.7,1.91,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,3,21,,2.85,Simul_+0deg,9.5,3.2,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,3,21,,2.85,Simul_-30deg,22.9,7.57,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,3,21,,2.85,Simul_-60deg,19.2,6.33,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,4,21,,3.8,Simul_+60deg,9.3,3.11,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_+30deg,4.9,1.94,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_+0deg,12.8,4.24,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_-30deg,26.1,8.66,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_-60deg,16.2,5.38,,3.8,0.0,-5.699999999999999,2.0
5,5×5,5,21,,4.75,Simul_+60deg,10.5,3.54,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_+30deg,8.6,2.96,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_+0deg,12.1,4.01,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_-30deg,28.5,9.46,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_-60deg,15.7,4.94,,4.75,0.0,-4.75,2.0
5,5×5,6,21,,5.7,Simul_+60deg,12.5,4.13,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_+30deg,9.8,3.3,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_+0deg,13.9,4.57,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_-30deg,29.5,9.81,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_-60deg,16.6,5.45,,5.699999999999999,0.0,-3.8,2.0
5,5×5,7,21,,6.65,Simul_+60deg,11.2,3.76,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_+30deg,11.0,3.71,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_+0deg,20.1,6.62,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_-30deg,28.7,9.55,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_-60deg,13.4,4.4,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,8,21,,7.6,Simul_+60deg,10.2,3.43,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_+30deg,10.5,3.54,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_+0deg,26.5,8.8,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_-30deg,23.6,7.83,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_-60deg,13.1,4.37,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,9,21,,8.55,Simul_+60deg,8.8,3.03,,8.549999999999999,0.0,-0.9499999999999993,2.0
