order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
9,9×9,7,21,,6.65,Simul_+45deg,13.1,4.36,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_+30deg,13.4,4.48,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_+15deg,12.9,4.31,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_+0deg,22.6,7.48,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_-15deg,32.1,10.67,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_-30deg,31.5,10.47,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_-45deg,17.8,5.88,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,7,21,,6.65,Simul_-60deg,16.9,5.6,,6.6499999999999995,0.0,-2.8500000000000005,2.0
9,9×9,8,21,,7.6,Simul_+60deg,12.9,4.31,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_+45deg,12.6,4.2,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_+30deg,13.7,4.52,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_+15deg,15.9,5.29,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_+0deg,28.9,9.61,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_-15deg,33.8,11.21,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_-30deg,27.1,9.0,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_-45deg,19.2,6.38,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,8,21,,7.6,Simul_-60deg,15.5,5.15,,7.6,0.0,-1.8999999999999995,2.0
9,9×9,9,21,,8.55,Simul_+60deg,12.0,4.02,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_+45deg,15.7,5.21,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_+30deg,15.6,5.18,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_+15deg,22.8,7.58,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_+0deg,32.5,10.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_-15deg,32.7,10.87,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_-30deg,23.6,7.84,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_-45deg,15.8,5.23,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,9,21,,8.55,Simul_-60deg,13.1,4.4,,8.549999999999999,0.0,-0.9499999999999993,2.0
9,9×9,10,21,,9.5,Simul_+60deg,13.0,4.32,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_+45deg,15.9,5.21,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_+30deg,15.2,4.98,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_+15deg,29.1,9.64,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_+0deg,34.1,11.34,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_-15deg,29.1,9.64,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_-30deg,15.2,4.98,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_-45deg,15.8,5.19,,9.5,0.0,0.0,2.0
9,9×9,10,21,,9.5,Simul_-60deg,13.0,4.32,,9.5,0.0,0.0,2.0
9,9×9,11,21,,10.45,Simul_+60deg,13.1,4.39,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_+45deg,15.8,5.23,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_+30deg,23.6,7.83,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_+15deg,32.7,10.87,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_+0deg,32.5,10.79,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_-15deg,22.8,7.58,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_-30deg,15.6,5.19,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_-45deg,15.6,5.15,,10.45,0.0,0.9500000000000011,2.0
9,9×9,11,21,,10.45,Simul_-60deg,12.0,4.05,,10.45,0.0,0.9500000000000011,2.0
9,9×9,12,21,,11.4,Simul_+60deg,15.4,5.11,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_+45deg,19.6,6.51,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_+30deg,27.1,8.99,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_+15deg,33.8,11.21,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_+0deg,28.8,9.57,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_-15deg,16.0,5.3,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_-30deg,13.7,4.54,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_-45deg,12.7,4.24,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,12,21,,11.4,Simul_-60deg,13.0,4.33,,11.399999999999999,0.0,1.9000000000000004,2.0
9,9×9,13,21,,12.35,Simul_+60deg,16.9,5.6,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_+45deg,17.9,5.94,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_+30deg,31.5,10.47,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_+15deg,32.1,10.66,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_+0deg,22.4,7.42,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_-15deg,13.0,4.34,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_-30deg,13.4,4.49,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_-45deg,12.9,4.31,,12.35,0.0,2.8499999999999996,2.0
9,9×9,13,21,,12.35,Simul_-60deg,14.3,4.79,,12.35,0.0,2.8499999999999996,2.0
9,9×9,14,21,,13.3,Simul_+60deg,18.8,6.21,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_+45deg,25.2,8.36,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_+30deg,32.0,10.64,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_+15deg,28.6,9.48,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_+0deg,16.7,5.51,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_-15deg,14.0,4.68,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_-30deg,12.3,4.13,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_-45deg,12.1,4.07,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,14,21,,13.3,Simul_-60deg,14.8,4.93,,13.299999999999999,0.0,3.799999999999999,2.0
9,9×9,15,21,,14.25,Simul_+60deg,18.3,6.02,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_+45deg,28.7,9.52,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_+30deg,30.8,10.22,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_+15deg,23.3,7.72,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_+0deg,14.6,4.85,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_-15deg,12.7,4.26,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_-30deg,10.6,3.61,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_-45deg,11.8,3.94,,14.25,0.0,4.75,2.0
9,9×9,15,21,,14.25,Simul_-60deg,13.2,4.4,,14.25,0.0,4.75,2.0
9,9×9,16,21,,15.2,Simul_+60deg,19.9,6.61,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_+45deg,29.5,9.79,,15.2,0.0,5.700000000000001,2.0
