trajectory,system,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
Linear,Lens,10,9.5,9.5,1.491493e-08,1.528767e-07,1.243053e-08,2.640081e-07
Linear,Lens,11,10.45,10.45,1.29997e-08,8.442579e-08,3.62868e-09,1.253989e-07
Linear,Lens,12,11.4,11.4,8.858924e-09,4.602141e-08,1.24087e-08,8.385729e-08
Linear,Lens,13,12.35,12.35,2.713537e-09,1.618108e-08,3.666934e-09,2.2483e-08
Linear,Lens,14,13.3,13.3,1.233752e-09,1.273917e-08,4.571892e-09,1.861482e-08
Linear,Lens,15,14.25,14.25,3.24203e-09,4.478048e-08,3.210041e-09,6.782605e-08
Linear,Lens,16,15.2,15.2,4.57297e-09,5.229226e-08,4.042794e-09,7.711412e-08
Linear,Lens,17,16.15,16.15,3.298316e-09,5.948761e-08,3.131671e-09,8.818575e-08
Linear,Lens,18,17.1,17.1,1.788837e-09,3.740439e-08,2.970999e-09,5.922865e-08
Linear,Lens,19,18.05,18.05,1.722441e-09,2.89267e-08,1.754585e-09,4.307913e-08
Linear,Lens,20,19.0,19.0,2.228818e-09,2.30417e-08,1.715831e-09,3.522898e-08
Half-Circular,Lens,0,0.0,0.0,2.612899e-09,1.160943e-08,3.025146e-09,1.781643e-08
Half-Circular,Lens,1,0.785149,0.785149,2.705107e-09,8.539919e-09,2.805638e-09,1.465416e-08
Half-Circular,Lens,2,1.570298,1.570298,2.187423e-09,1.8215e-08,2.643107e-09,2.734547e-08
Half-Circular,Lens,3,2.355447,2.355447,1.626548e-09,2.065779e-08,3.434793e-09,2.958972e-08
Half-Circular,Lens,4,3.140596,3.140596,1.673637e-09,1.792061e-08,4.637369e-09,2.955511e-08
Half-Circular,Lens,5,3.925745,3.925745,1.67972e-09,1.392465e-08,4.729913e-09,2.148839e-08
Half-Circular,Lens,6,4.710894,4.710894,2.358149e-09,1.19924e-08,2.625648e-09,1.948033e-08
Half-Circular,Lens,7,5.496043,5.496043,3.745739e-09,1.779835e-08,4.876548e-09,3.027317e-08
Half-Circular,Lens,8,6.281192,6.281192,3.752723e-09,2.583072e-08,5.047562e-09,3.799815e-08
Half-Circular,Lens,9,7.066341,7.066341,3.826985e-09,4.617959e-08,5.06324e-09,7.748567e-08
Half-Circular,Lens,10,7.85149,7.85149,3.414574e-09,6.512335e-08,2.532172e-09,1.042803e-07
Half-Circular,Lens,11,8.636639,8.636639,5.788667e-09,8.713617e-08,5.20977e-09,1.413686e-07
Half-Circular,Lens,12,9.421788,9.421788,5.837627e-09,7.165789e-08,7.073797e-09,1.174682e-07
Half-Circular,Lens,13,10.206937,10.206937,1.99638e-09,2.75204e-08,5.285336e-09,3.905092e-08
Half-Circular,Lens,14,10.992086,10.992086,1.353947e-09,6.967542e-09,3.097561e-09,1.075417e-08
Half-Circular,Lens,15,11.777235,11.777235,6.912687e-09,3.777762e-08,1.388295e-08,6.413478e-08
Half-Circular,Lens,16,12.562384,12.562384,9.122092e-09,7.418746e-08,4.729899e-09,1.256401e-07
Half-Circular,Lens,17,13.347533,13.347533,1.325276e-08,1.379666e-07,5.89319e-09,2.086038e-07
Half-Circular,Lens,18,14.132682,14.132682,1.491495e-08,1.528767e-07,1.243053e-08,2.640081e-07
Half-Circular,Lens,19,14.91783,14.91783,1.294317e-08,1.010364e-07,5.566702e-09,1.516372e-07
Half-Circular,Lens,20,15.702979,15.702979,9.620747e-09,6.865838e-08,5.771097e-09,1.179953e-07
Half-Circular,Lens,21,16.488128,16.488128,6.600188e-09,2.770643e-08,1.346738e-08,4.008523e-08
Half-Circular,Lens,22,17.273277,17.273277,1.29093e-09,5.310051e-09,2.949862e-09,7.171056e-09
Half-Circular,Lens,23,18.058426,18.058426,1.765381e-09,3.247751e-08,5.271042e-09,4.98373e-08
Half-Circular,Lens,24,18.843575,18.843575,5.365766e-09,6.037614e-08,4.213065e-09,9.339057e-08
Half-Circular,Lens,25,19.628724,19.628724,6.259728e-09,9.312438e-08,3.47847e-09,1.38428e-07
Half-Circular,Lens,26,20.413873,20.413873,3.016064e-09,6.297178e-08,4.120505e-09,1.002386e-07
Half-Circular,Lens,27,21.199022,21.199022,3.866623e-09,4.903718e-08,3.010504e-09,7.506226e-08
Half-Circular,Lens,28,21.984171,21.984171,3.590332e-09,2.984228e-08,5.333727e-09,4.997137e-08
Half-Circular,Lens,29,22.76932,22.76932,3.510139e-09,1.520606e-08,6.063323e-09,2.136644e-08
Half-Circular,Lens,30,23.554469,23.554469,1.799932e-09,8.04607e-09,5.120552e-09,1.201099e-08
Half-Circular,Lens,31,24.339618,24.339618,1.181529e-09,8.021215e-09,4.102847e-09,1.143258e-08
Half-Circular,Lens,32,25.124767,25.124767,1.263477e-09,1.33637e-08,2.232659e-09,1.90513e-08
Half-Circular,Lens,33,25.909916,25.909916,1.574032e-09,1.692499e-08,2.29344e-09,2.567065e-08
Half-Circular,Lens,34,26.695065,26.695065,2.001307e-09,1.524153e-08,3.519651e-09,2.299624e-08
Half-Circular,Lens,35,27.480214,27.480214,2.604561e-09,1.79124e-08,4.058967e-09,3.10758e-08
Half-Circular,Lens,36,28.265363,28.265363,3.201096e-09,1.868497e-08,6.498428e-09,3.332296e-08
