trajectory,system,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
Half-Circular,Lens,27,21.199022,21.199022,0.431136,0.568864,0.367388,0.721188
Half-Circular,Lens,28,21.984171,21.984171,0.435658,0.564342,0.364213,0.705458
Half-Circular,Lens,29,22.76932,22.76932,0.505055,0.494945,0.199287,0.680527
Half-Circular,Lens,30,23.554469,23.554469,0.432507,0.567493,0.369167,0.727916
Half-Circular,Lens,31,24.339618,24.339618,0.292625,0.707375,0.558397,0.790442
Half-Circular,Lens,32,25.124767,25.124767,0.307493,0.692507,0.679277,0.707385
Half-Circular,Lens,33,25.909916,25.909916,0.358855,0.641145,0.528156,0.713983
Half-Circular,Lens,34,26.695065,26.695065,0.446152,0.553848,0.291072,0.696636
Half-Circular,Lens,35,27.480214,27.480214,0.549607,0.450393,0.193075,0.621708
Half-Circular,Lens,36,28.265363,28.265363,0.536044,0.463956,0.239059,0.632097
