source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,channel_real,channel_imag,magnitude_linear,magnitude_db,phase_deg
HFSS SBR+ Solver,without,2,3,rx2,tx3,38.0,-0.013078122439,-0.00339315494788,0.013511135667655693,-37.386162903397725,-165.45515695914617
HFSS SBR+ Solver,without,2,3,rx2,tx3,39.0,0.006385114753887,0.012509406853,0.01404474813708629,-37.04972089094886,62.959094544358045
HFSS SBR+ Solver,without,3,1,rx3,tx1,37.0,-0.0364957762331,-0.014316678734,0.03920343062576379,-28.13351853885239,-158.5807585959655
HFSS SBR+ Solver,without,3,1,rx3,tx1,38.0,0.02329738122299,0.02779653610622,0.036268655769875445,-28.80937080873537,50.032289631023616
HFSS SBR+ Solver,without,3,1,rx3,tx1,39.0,0.00116464597848,-0.0321643176527,0.03218539622746593,-29.846822799929498,-87.92626849167179
HFSS SBR+ Solver,without,3,2,rx3,tx2,37.0,0.01054283525915,-0.00442258092523,0.01143287353825733,-38.836892006330224,-22.757409319274537
HFSS SBR+ Solver,without,3,2,rx3,tx2,38.0,-0.01296077255466,-0.00341345117738,0.013402733831348919,-37.45613214199915,-165.24518575892364
HFSS SBR+ Solver,without,3,2,rx3,tx2,39.0,0.00631685274012,0.0123856602884,0.013903496298413946,-37.1375194881928,62.97780903194806
HFSS SBR+ Solver,without,3,3,rx3,tx3,37.0,0.061756993828574,0.01647503081198,0.06391676561746705,-23.8877041951661,14.937046361920906
HFSS SBR+ Solver,without,3,3,rx3,tx3,38.0,-0.043862083583,-0.0321275993977223,0.05436970681641207,-25.292860177691633,-143.7783941148658
HFSS SBR+ Solver,without,3,3,rx3,tx3,39.0,0.01270337811498,0.0423130855162,0.044178875284839554,-27.095706893694334,73.28901383335878
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.0,-0.1145974844694137,0.0411401763558387,0.12175835723804351,-18.290024400574126,160.25200396471746
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.005,-0.1140817254781723,0.041986346244812,0.1215627136874885,-18.303992271488603,159.79449553517924
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.01,-0.1135569810867309,0.0427187159657478,0.12132632297772152,-18.320899286255347,159.38432805915195
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.015,-0.1130806058645248,0.0433511361479759,0.12110550948659744,-18.336721978559304,159.02492924100864
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.02,-0.112690657377243,0.0439255125820636,0.12094889381764597,-18.34796198565992,158.70473965975035
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.025,-0.1123964861035347,0.044492844492197,0.12088251858490083,-18.3527300011553,158.40355748333363
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.03,-0.1121833696961402,0.0450940169394016,0.12090731491564895,-18.350948468905216,158.10149867712786
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.035,-0.112024500966072,0.0457585267722606,0.1210096342820073,-18.34360103186149,157.78151134020104
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.04,-0.1118872910737991,0.0465036034584045,0.12116662510134371,-18.332339770122402,157.43081242730304
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.045,-0.1117302775382995,0.0473321415483951,0.12134243504373375,-18.31974588168386,157.04109471568927
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.05,-0.1115103363990783,0.0482243411242961,0.12149132561919013,-18.309094584557037,156.61319677216463
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.055,-0.1112062484025955,0.0491331033408641,0.1215766899026446,-18.302993701444056,156.16321742168483
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.06,-0.1108311340212822,0.0500107817351818,0.12159201683584087,-18.301898757508262,155.7134826810026
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.065,-0.1104234457015991,0.0508309565484523,0.12156119242687877,-18.304100969164438,155.2820810753129
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.07,-0.1100233718752861,0.0515995472669601,0.12152224338351703,-18.30688443397697,154.87402632428865
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.075,-0.1096589043736457,0.0523427091538906,0.12151063537813121,-18.307714164129443,154.48378702997363
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.08,-0.1093337535858154,0.053098876029253,0.1215457128356808,-18.3052070999905,154.09607429191922
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.085,-0.1090230047702789,0.0539005696773529,0.12161943504507589,-18.299940366662305,153.69237901587363
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.09,-0.1086857169866561,0.0547533668577671,0.12169846448975738,-18.29429802748289,153.2620845687286
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.095,-0.1082886010408401,0.0556327886879444,0.12174328849090495,-18.29109942800899,152.80836866122374
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.1,-0.1078204661607742,0.0565038844943046,0.12172896896824673,-18.292121127934237,152.34297662683505
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.105,-0.1072915345430374,0.0573324002325534,0.12164899301278854,-18.29782963450696,151.88169580622218
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.11,-0.1067241355776786,0.0580931790173053,0.12151073435355168,-18.307707089117237,151.43920881846245
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.115,-0.1061537191271781,0.0587696284055709,0.1213362324594789,-18.32018988414089,151.0298760802778
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.12,-0.1056220829486846,0.0593688115477561,0.12116385678498265,-18.33253822052129,150.6602203345513
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.125,-0.1051658019423484,0.0599210374057292,0.12103874017006311,-18.34151210618073,150.32651175288893
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.13,-0.1047974079847335,0.0604723058640956,0.12099337377244845,-18.344768265218086,150.0133307062422
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.135,-0.1045018434524536,0.0610685423016548,0.1210371932250997,-18.34162311757323,149.69893919690165
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.14,-0.1042467281222343,0.0617401450872421,0.12115785504697886,-18.332968478574145,149.3638534766312
