lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
without,1,2,38.0,HFSS Hybrid Solver,SIonna-RT,1.7744263186553262,1.7744263186553262,0.841538545700292,0.841538545700292,81.38176264764239,-1.064230643089573
without,1,2,39.0,HFSS Hybrid Solver,SIonna-RT,0.48587885939389963,0.48587885939389963,-0.4470089135611346,0.4470089135611346,14.66004232694084,-67.78595096379112
without,1,3,37.0,HFSS Hybrid Solver,SIonna-RT,1.6460083873639668,1.6460083873639668,0.26054864481112716,0.26054864481112716,-27.90371929032451,66.46031483000087
without,1,3,38.0,HFSS Hybrid Solver,SIonna-RT,1.8578013875962505,1.8578013875962505,0.4723416450434108,0.4723416450434108,-97.70810769112812,-3.344073570802749
without,1,3,39.0,HFSS Hybrid Solver,SIonna-RT,0.6525694526983017,0.6525694526983017,-0.732890289854538,0.732890289854538,-157.48027537952348,-63.11624125919811
without,2,1,37.0,HFSS Hybrid Solver,SIonna-RT,1.4695006794959014,1.4695006794959014,0.3065862531034682,0.3065862531034682,-45.07886058085704,57.161467647609186
without,2,1,38.0,HFSS Hybrid Solver,SIonna-RT,1.3781637107083142,1.3781637107083142,0.21524928431588108,0.21524928431588108,-104.67765186167257,-2.437323633206347
without,2,1,39.0,HFSS Hybrid Solver,SIonna-RT,0.641078888973091,0.641078888973091,-0.5218355374193422,0.5218355374193422,-156.96447224286905,-54.724144014402825
without,2,2,37.0,HFSS Hybrid Solver,SIonna-RT,-1.7469052201088893,1.7469052201088893,-0.1611665018186379,0.1611665018186379,126.54885696939935,83.23643960809653
without,2,2,38.0,HFSS Hybrid Solver,SIonna-RT,-0.9785933511791889,0.9785933511791889,0.6071453671110625,0.6071453671110625,41.08672004186174,-2.2256973194410747
without,2,2,39.0,HFSS Hybrid Solver,SIonna-RT,-2.031717583582676,2.031717583582676,-0.4459788652924246,0.4459788652924246,-37.698324927352644,-81.01074228865546
without,2,3,37.0,HFSS Hybrid Solver,SIonna-RT,5.280968353567957,5.280968353567957,-0.6405312882063612,0.6405312882063612,51.00810767308718,55.56789939632263
without,2,3,38.0,HFSS Hybrid Solver,SIonna-RT,6.459650230467737,6.459650230467737,0.5381505886934193,0.5381505886934193,-6.56983376155252,-2.010042038317081
without,2,3,39.0,HFSS Hybrid Solver,SIonna-RT,6.023880341287253,6.023880341287253,0.10238069951293483,0.10238069951293483,-58.117649081240984,-53.55785735800554
without,3,1,37.0,HFSS Hybrid Solver,SIonna-RT,1.397662690563628,1.397662690563628,0.31869071322682885,0.31869071322682885,-44.61389028032518,57.20114969210701
without,3,1,38.0,HFSS Hybrid Solver,SIonna-RT,1.2914177454869318,1.2914177454869318,0.2124457681501326,0.2124457681501326,-104.52429495487168,-2.7092549824394894
without,3,1,39.0,HFSS Hybrid Solver,SIonna-RT,0.5478354959598306,0.5478354959598306,-0.5311364813769686,0.5311364813769686,-156.30693468209972,-54.491894709667534
without,3,2,37.0,HFSS Hybrid Solver,SIonna-RT,4.923466173248741,4.923466173248741,-0.08464934516829459,0.08464934516829459,56.36392628270987,60.052011371602696
