lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
without,1,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-1.3670928467741206,1.3670928467741206,1.2393085902634127,1.2393085902634127,42.139159770786435,1.7590963260241281
without,1,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-2.0357632814827653,2.0357632814827653,-1.186697586113933,1.186697586113933,19.604580834790966,-2.2011467322718374
without,1,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.11033527223973394,0.11033527223973394,0.7387304231290983,0.7387304231290983,25.034229181893444,3.228501614830641
without,1,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.40109853238399396,0.40109853238399396,0.4479671629848383,0.4479671629848383,20.778372684504006,-1.0273548825587966
without,1,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.944331071555748,0.944331071555748,-0.5289861529987583,0.5289861529987583,-160.40513546025053,-4.6196459652610145
without,1,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.049473057412814825,0.049473057412814825,0.3658718611441749,0.3658718611441749,-154.89085520834516,0.8946342866443616
without,1,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.252230626702417,0.252230626702417,0.1631142918545727,0.1631142918545727,-152.06047781637284,3.725011678616681
without,2,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.3945669221141515,4.3945669221141515,-0.4591949216320863,0.4591949216320863,-178.59511565083588,-13.857169324539655
without,2,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.831294410701936,3.831294410701936,0.10407758978012893,0.10407758978012893,-163.23959715019208,1.498349176104142
without,2,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.5802546686301007,3.5802546686301007,0.3551173318519645,0.3551173318519645,-152.37912617786077,12.358820148435456
without,2,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-6.126121368637218,6.126121368637218,-1.7099637185311813,1.7099637185311813,35.19173840517452,-6.871247923432911
without,2,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.915854020248233,3.915854020248233,0.5003036298578039,0.5003036298578039,45.2033031592725,3.1403168306650713
without,2,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.2064975614326556,3.2064975614326556,1.209660088673381,1.209660088673381,45.79391742137528,3.730931092767853
without,2,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,3.434521348954263,3.434521348954263,0.4158232039257186,0.4158232039257186,163.01895514771527,-2.3710199990262595
without,2,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,3.130788677005995,3.130788677005995,0.11209053197745078,0.11209053197745078,166.77979729714284,1.3898221504013009
without,2,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,2.490784409125368,2.490784409125368,-0.5279137359031765,0.5279137359031765,166.37117299536646,0.9811978486249303
without,3,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.398867261326107,4.398867261326107,-0.4541905153558723,0.4541905153558723,-178.50011606237553,-13.750292102708414
without,3,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.839460641927271,3.839460641927271,0.10521610404296311,0.10521610404296311,-163.4800554830258,1.2697684766413033
without,3,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.5957023346573393,3.5957023346573393,0.34897441131289497,0.34897441131289497,-152.26930033359997,12.48052362606714
without,3,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,3.4199166989753493,3.4199166989753493,0.970890972897422,0.970890972897422,167.1418106251687,1.6877120716268903
without,3,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,2.6616972627068165,2.6616972627068165,0.21267153662888916,0.21267153662888916,168.0589704569556,2.6048719034137946
without,3,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,1.2654632165516233,1.2654632165516233,-1.183562509526304,1.183562509526304,161.1615145785011,-4.292583975040685
without,3,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-5.343412237043278,5.343412237043278,-0.7085787966427937,0.7085787966427937,36.5662009961119,-10.225289402263698
without,3,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.193682178699827,4.193682178699827,0.4411512617006572,0.4411512617006572,51.49945449811803,4.707964099742426
without,3,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.367405905458355,4.367405905458355,0.26742753494212934,0.26742753494212934,52.30881570089687,5.517325302521272
with,1,1,37.0,HFSS Hybrid Solver,SIonna-RT,0.2771637519647925,0.2771637519647925,0.17629093115101924,0.17629093115101924,-23.22698233402599,78.04636912855689
with,1,1,38.0,HFSS Hybrid Solver,SIonna-RT,-0.1949530213066737,0.1949530213066737,-0.29582584212044694,0.29582584212044694,-112.5256023031509,-11.252250840568024
with,1,1,39.0,HFSS Hybrid Solver,SIonna-RT,0.22040773178319029,0.22040773178319029,0.11953491096941704,0.11953491096941704,-168.06746975057177,-66.7941182879889
with,1,2,37.0,HFSS Hybrid Solver,SIonna-RT,6.693779385450071,6.693779385450071,1.2195333096333485,1.2195333096333485,-112.67781412166798,-130.41622832506138
with,1,2,38.0,HFSS Hybrid Solver,SIonna-RT,4.972790702066796,4.972790702066796,-0.501455373749927,0.501455373749927,140.5372456830946,122.7988314797012
with,1,2,39.0,HFSS Hybrid Solver,SIonna-RT,4.756168139933294,4.756168139933294,-0.7180779358834286,0.7180779358834286,25.35581104875357,7.617396845360177
with,1,3,37.0,HFSS Hybrid Solver,SIonna-RT,5.26523021971213,5.26523021971213,0.8995037975489097,0.8995037975489097,64.000826331974,112.44847502092395
with,1,3,38.0,HFSS Hybrid Solver,SIonna-RT,4.327518739526589,4.327518739526589,-0.038207682636631546,0.038207682636631546,-42.649336102179205,5.798312586770749
with,1,3,39.0,HFSS Hybrid Solver,SIonna-RT,3.504430307250928,3.504430307250928,-0.8612961149122924,0.8612961149122924,-166.69443629664465,-118.2467876076947
with,2,1,37.0,HFSS Hybrid Solver,SIonna-RT,6.10636223796989,6.10636223796989,10.375152657846158,10.375152657846158,-73.40283160722144,41.61940652323757
with,2,1,38.0,HFSS Hybrid Solver,SIonna-RT,-7.0679306350498905,7.0679306350498905,-2.7991402151736224,2.7991402151736224,-177.6636947176888,-62.64145658722978
with,2,1,39.0,HFSS Hybrid Solver,SIonna-RT,-11.844802862548775,11.844802862548775,-7.576012442672507,7.576012442672507,-94.00018806646678,21.02205006399224
with,2,2,37.0,HFSS Hybrid Solver,SIonna-RT,1.104777904149259,1.104777904149259,0.6016034616781276,0.6016034616781276,126.04152909091174,95.47110866940106
with,2,2,38.0,HFSS Hybrid Solver,SIonna-RT,0.7476623900127883,0.7476623900127883,0.24448794754165704,0.24448794754165704,22.54576130872085,-8.024659112789827
with,2,2,39.0,HFSS Hybrid Solver,SIonna-RT,-0.34291696674866046,0.34291696674866046,-0.8460914092197918,0.8460914092197918,-56.87602913510055,-87.44644955661123
with,2,3,37.0,HFSS Hybrid Solver,SIonna-RT,7.120279615158033,7.120279615158033,0.4637814340688209,0.4637814340688209,179.93802082818564,145.1345651921033
with,2,3,38.0,HFSS Hybrid Solver,SIonna-RT,5.197297699678572,5.197297699678572,-1.4592004814106403,1.4592004814106403,25.900751548667238,-8.902704087415096
with,2,3,39.0,HFSS Hybrid Solver,SIonna-RT,7.651917228431039,7.651917228431039,0.9954190473418265,0.9954190473418265,-101.42840546860587,-136.23186110468822
with,3,1,37.0,HFSS Hybrid Solver,SIonna-RT,6.350218037297871,6.350218037297871,10.890538122467355,10.890538122467355,100.15676258652304,40.20777298610981
with,3,1,38.0,HFSS Hybrid Solver,SIonna-RT,-6.261236150611488,6.261236150611488,-1.7209160654420046,1.7209160654420046,-2.975607496293051,-62.92459709670629
