"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.9,25.0625,0.596158433520819 - 0.726763587035394i
2.9,25.125,0.565250429638455 - 0.751138806399551i
2.9,25.1875,0.533363587827067 - 0.774175185887913i
2.9,25.25,0.50055711442528 - 0.795835105366802i
2.9,25.3125,0.466891434437871 - 0.816083557480696i
2.9,25.375,0.432428087914767 - 0.834888166734456i
2.9,25.4375,0.397229627619196 - 0.852219206380698i
2.9,25.5,0.36135951776355 - 0.868049613205526i
2.9,25.5625,0.324882033604362 - 0.88235500026326i
2.9,25.625,0.287862161705038 - 0.895113667572392i
2.9,25.6875,0.250365500695744 - 0.906306610751325i
2.9,25.75,0.212458162383455 - 0.915917527543322i
2.9,25.8125,0.174206673091061 - 0.923932822155843i
2.9,25.875,0.13567787513186 - 0.93034160731986i
2.9,25.9375,0.0969388283540853 - 0.935135703959929i
2.9,26,0.0580567117189301 - 0.938309638355468i
2.9,26.0625,0.0190987249040348 - 0.939860636667843i
2.9,26.125,-0.0198680100476464 - 0.939788616706077i
2.9,26.1875,-0.0587765469868496 - 0.938096176806194i
2.9,26.25,-0.0975602137529379 - 0.934788581704933i
2.9,26.3125,-0.136152710009377 - 0.92987374529761i
2.9,26.375,-0.174488204703136 - 0.923362210181815i
2.9,26.4375,-0.212501433012758 - 0.915267123903056i
2.9,26.5,-0.250127792633672 - 0.905604211835076i
2.9,26.5625,-0.287303439236128 - 0.894391746645849i
2.9,26.625,-0.323965380920896 - 0.881650514319877i
2.9,26.6875,-0.360051571490442 - 0.867403776728015i
2.9,26.75,-0.395501002349355 - 0.851677230756964i
2.9,26.8125,-0.430253792846191 - 0.834498964031884i
2.9,26.875,-0.464251278870981 - 0.815899407286332i
2.9,26.9375,-0.497436099526886 - 0.795911283454074i
2.9,27,-0.52975228170194 - 0.774569553576509i
2.9,27.0625,-0.561145322376358 - 0.751911359637481i
2.9,27.125,-0.591562268512919 - 0.727975964453629i
2.9,27.1875,-0.620951794391975 - 0.702804688762934i
2.9,27.25,-0.649264276268304 - 0.67644084566666i
2.9,27.3125,-0.676451864244313 - 0.648929672590071i
2.9,27.375,-0.702468551272379 - 0.620318260935126i
2.9,27.4375,-0.727270239218417 - 0.590655483603628i
2.9,27.5,-0.75081480193828 - 0.559991920572097i
2.9,27.5625,-0.773062145338654 - 0.528379782699512i
2.9,27.625,-0.793974264413604 - 0.495872833946722i
2.9,27.6875,-0.813515297267256 - 0.462526312180995i
2.9,27.75,-0.83165157615141 - 0.428396848731592i
2.9,27.8125,-0.848351675564116 - 0.393542386852184i
2.9,27.875,-0.863586457471149 - 0.358022099233553i
2.9,27.9375,-0.877329113726397 - 0.321896304695654i
2.9,28,-0.889555205779395 - 0.285226384171858i
2.9,28.0625,-0.900242701768291 - 0.248074696080191i
2.9,28.125,-0.909372011104136 - 0.210504491157163i
2.9,28.1875,-0.916926016657526 - 0.172579826809303i
2.9,28.25,-0.922890104660959 - 0.1343654810164i
2.9,28.3125,-0.92725219243993 - 0.0959268657984103i
2.9,28.375,-0.930002754082351 - 0.0573299402365496i
2.9,28.4375,-0.93113484414969 - 0.0186411230168637i
2.9,28.5,-0.930644119523909 + 0.020072795556425i
2.9,28.5625,-0.928528859472084 + 0.0587447421509884i
2.9,28.625,-0.924789983995477 + 0.0973074496923783i
2.9,28.6875,-0.919431070511849 + 0.135693547456065i
2.9,28.75,-0.912458368899206 + 0.173835652091497i
2.9,28.8125,-0.903880814905919 + 0.211666459717834i
2.9,28.875,-0.893710041906657 + 0.249118839242034i
2.9,28.9375,-0.881960390955882 + 0.286125927058169i
2.9,29,-0.868648919061086 + 0.322621223292012i
2.9,29.0625,-0.853795405566911 + 0.358538689756476i
2.9,29.125,-0.837422356508893 + 0.393812849781449i
2.9,29.1875,-0.819555006762383 + 0.428378890075645i
2.9,29.25,-0.800221319778596 + 0.462172764767832i
2.9,29.3125,-0.779451984665961 + 0.495131301760528i
2.9,29.375,-0.757280410341743 + 0.527192311510309i
2.9,29.4375,-0.733742716446638 + 0.558294698325467i
2.9,29.5,-0.708877720684054 + 0.588378574243958i
2.9,29.5625,-0.682726922217082 + 0.617385375521918i
2.9,29.625,-0.655334480729732 + 0.645257981726174i
2.9,29.6875,-0.626747190735937 + 0.671940837382802i
2.9,29.75,-0.597014450700289 + 0.697380076088379i
2.9,29.8125,-0.566188226519455 + 0.721523646941093i
2.9,29.875,-0.534323008902831 + 0.744321443096167i
2.9,29.9375,-0.501475764186268 + 0.765725432193921i
2.9,30,-0.467705878113888 + 0.785689788350213i
2.9,30.0625,-0.433075092130553 + 0.804171025338444i
2.9,30.125,-0.397647431742249 + 0.82112813053022i
2.9,30.1875,-0.361489126523537 + 0.836522699099198i
2.9,30.25,-0.324668521380688 + 0.850319067930279i
2.9,30.3125,-0.28725597871666 + 0.862484448614918i
2.9,30.375,-0.249323771189493 + 0.872989058854112i
2.9,30.4375,-0.210945964809081 + 0.881806251534384i
2.9,30.5,-0.172198292178791 + 0.888912640689963i
2.9,30.5625,-0.133158015757528 + 0.894288223517309i
2.9,30.625,-0.0939037810941025 + 0.8979164975675i
2.9,30.6875,-0.0545154600692235 + 0.899784572208422i
2.9,30.75,-0.0150739842695984 + 0.899883273423654i
2.9,30.8125,0.0243388312866236 + 0.898207240999065i
2.9,30.875,0.0636404737549267 + 0.894755017142565i
2.9,30.9375,0.102747926979796 + 0.88952912558782i
2.9,31,0.14157787439613 + 0.882536140249824i
2.9,31.0625,0.180046909687927 + 0.873786742529501i
2.9,31.125,0.218071754472085 + 0.863295766406383i
2.9,31.1875,0.25556948217419 + 0.851082230512923i
2.9,31.25,0.292457747166561 + 0.837169356451321i
2.9,31.3125,0.32865501814825 + 0.821584572693286i
2.9,31.375,0.364080814663396 + 0.804359503494832i
2.9,31.4375,0.398655945580944 + 0.785529942360699i
2.9,31.5,0.432302748295422 + 0.765135809706034i
2.9,31.5625,0.464945327358215 + 0.743221094484596i
2.9,31.625,0.496509791211664 + 0.719833779682106i
2.9,31.6875,0.526924485676417 + 0.695025751708464i
2.9,31.75,0.556120222836039 + 0.668852693861675i
2.9,31.8125,0.584030503973077 + 0.641373964177596i
2.9,31.875,0.610591735238031 + 0.612652458120593i
2.9,31.9375,0.635743434776719 + 0.58275445670917i
2.9,32,0.659428430102753 + 0.551749460805012i
2.9,32.0625,0.681593044579598 + 0.519710012421483i
2.9,32.125,0.702187271970034 + 0.486711504026542i
2.9,32.1875,0.721164938119061 + 0.452831976922894i
2.9,32.25,0.738483848957989 + 0.418151909883033i
2.9,32.3125,0.754105924150758 + 0.38275399929726i
2.9,32.375,0.767997315847116 + 0.346722932156678i
2.9,32.4375,0.780128512158679 + 0.310145153239549i
2.9,32.5,0.790474425131168 + 0.273108627897352i
2.9,32.5625,0.799014463146902 + 0.235702601845007i
2.9,32.625,0.805732587853487 + 0.198017359348339i
2.9,32.6875,0.810617355875124 + 0.160143981170134i
2.9,32.75,0.813661945719749 + 0.122174103584448i
2.9,32.8125,0.814864170445722 + 0.0841996796976558i
2.9,32.875,0.814226476793796 + 0.0463127442245721i
2.9,32.9375,0.811755931621414 + 0.00860518275973877i
2.9,33,0.807464196594709 - 0.0288314935409031i
2.9,33.0625,0.801367492197244 - 0.0659063670933042i
2.9,33.125,0.793486552201482 - 0.102529326213359i
2.9,33.1875,0.783846569817722 - 0.138611270186326i
2.9,33.25,0.77247713678429 - 0.174064306801501i
2.9,33.3125,0.759412176690734 - 0.208801942262171i
2.9,33.375,0.744689873831605 - 0.242739263573577i
2.9,33.4375,0.728352598870876 - 0.275793113709214i
2.9,33.5,0.710446832555304 - 0.307882260056186i
2.9,33.5625,0.691023088648126 - 0.338927556841174i
2.9,33.625,0.670135837161547 - 0.368852102438121i
2.9,33.6875,0.647843428846581 - 0.39758139265438i
2.9,33.75,0.624208021751241 - 0.425043471281545i
2.9,33.8125,0.599295510481804 - 0.451169079377953i
2.9,33.875,0.573175458596009 - 0.47589180491896i
2.9,33.9375,0.545921034320801 - 0.49914823460545i
2.9,34,0.51760894951939 - 0.520878109757124i
2.9,34.0625,0.488319401532483 - 0.541024488330668i
2.9,34.125,0.458136017185531 - 0.559533915189404i
2.9,34.1875,0.427145797887428 - 0.576356602804978i
2.9,34.25,0.395439064346279 - 0.591446624586774i
2.9,34.3125,0.363109398995158 - 0.604762123004002i
2.9,34.375,0.330253583756512 - 0.61626553458058i
2.9,34.4375,0.296971530280785 - 0.625923833694997i
2.9,34.5,0.263366199276984 - 0.633708796895964i
2.9,34.5625,0.229543505015789 - 0.639597289139084i
2.9,34.625,0.195612200538634 - 0.643571572947818i
2.9,34.6875,0.161683738559092 - 0.645619640991671i
2.9,34.75,0.127872102511179 - 0.645735571943302i
2.9,34.8125,0.0942936017009518 - 0.643919908712277i
2.9,34.875,0.0610666240759469 - 0.640180057246078i
2.9,34.9375,0.0283113397691955 - 0.634530703030344i
2.9,35,-0.00385065166650957 - 0.62699424120572i
2.9,35.0625,-0.0352967375047579 - 0.617601214848444i
2.9,35.125,-0.065903778632101 - 0.606390754443099i
2.9,35.1875,-0.0955486735800948 - 0.593411009924967i
2.9,35.25,-0.124109005859257 - 0.57871956491264i
2.9,35.3125,-0.151463779658423 - 0.562383820928737i
2.9,35.375,-0.177494247586265 - 0.544481337572242i
2.9,35.4375,-0.202084832307834 - 0.525100112830624i
2.9,35.5,-0.225124141633036 - 0.504338786091854i
2.9,35.5625,-0.246506073826314 - 0.482306745040877i
2.9,35.625,-0.266131006628122 - 0.459124116623043i
2.9,35.6875,-0.283907059736337 - 0.43492162176271i
2.9,35.75,-0.29975141634956 - 0.40984027368008i
2.9,35.8125,-0.313591684922865 - 0.384030900595704i
2.9,35.875,-0.325367277670708 - 0.357653475482654i
2.9,35.9375,-0.335030777756424 - 0.330876238432947i
2.9,36,-0.342549262761164 - 0.303874601224287i
2.9,36.0625,-0.347905548192706 - 0.276829828833341i
2.9,36.125,-0.351099311769164 - 0.249927498906559i
2.9,36.1875,-0.352148057299404 - 0.223355747456921i
2.9,36.25,-0.351087876477669 - 0.197303317107886i
2.9,36.3125,-0.347973968078991 - 0.171957432768741i
2.9,36.375,-0.342880877089097 - 0.147501538328128i
2.9,36.4375,-0.335902421345462 - 0.124112936352993i
2.9,36.5,-0.327151280310645 - 0.101960380385697i
2.9,36.5625,-0.31675822951947 - 0.0812016757304119i
2.9,36.625,-0.304871014771501 - 0.0619813491169082i
2.9,36.6875,-0.291652871872571 - 0.0444284498910439i
2.9,36.75,-0.277280710132886 - 0.0286545450749185i
2.9,36.8125,-0.261942990276977 - 0.0147519675746867i
2.9,36.875,-0.24583733923073 - 0.00279237096896824i
2.9,36.9375,-0.229167954736934 + 0.00717436415023906i
2.9,37,-0.212142861278343 + 0.0151208380402156i
2.9,37.0625,-0.194971084825571 + 0.0210424321093473i
2.9,37.125,-0.177859817097352 + 0.0249571934775416i
2.9,37.1875,-0.161011640128586 + 0.0269053095725061i
2.9,37.25,-0.144621878994951 + 0.0269481921147648i
2.9,37.3125,-0.128876144750438 + 0.0251672023150893i
2.9,37.375,-0.11394812138426 + 0.0216620598410351i
2.9,37.4375,-0.0999976404290081 + 0.0165489866068733i
2.9,37.5,-0.0871690753823206 + 0.00995864237327669i
2.9,37.5625,-0.0755900760118115 + 0.0020339123616504i
2.9,37.625,-0.065370650560051 - 0.00707239237510878i
2.9,37.6875,-0.0566025924568879 - 0.0171998630338887i
2.9,37.75,-0.0493592378875048 - 0.028182794913933i
2.9,37.8125,-0.0436955318416278 - 0.0398524142100542i
2.9,37.875,-0.0396483733318879 - 0.0520389880305572i
2.9,37.9375,-0.0372372054336243 - 0.0645737838147319i
2.9,38,-0.0364648126557738 - 0.0772908525250741i
2.9,38.0625,-0.0373182867910233 - 0.090028618081737i
2.9,38.125,-0.0397701226199449 - 0.102631263142938i
2.9,38.1875,-0.0437794064111816 - 0.114949908246537i
2.9,38.25,-0.0492930627911077 - 0.12684358732913i
2.9,38.3125,-0.0562471289682836 - 0.138180027622668i
2.9,38.375,-0.0645680292182908 - 0.14883624585854i
2.9,38.4375,-0.0741738267165781 - 0.158698975606979i
2.9,38.5,-0.0849754340384011 - 0.16766494251342i
2.9,38.5625,-0.0968777677526383 - 0.175641005262101i
2.9,38.625,-0.109780836387494 - 0.182544180420363i
2.9,38.6875,-0.123580754546347 - 0.188301569022625i
2.9,38.75,-0.138170679042066 - 0.192850201969404i
2.9,38.8125,-0.15344166556825 - 0.196136820165888i
2.9,38.875,-0.169283446631131 - 0.198117603917442i
2.9,38.9375,-0.185585133239865 - 0.198757864533097i
2.9,39,-0.202235844223331 - 0.198031709444669i
2.9,39.0625,-0.219125268044581 - 0.195921690495428i
2.9,39.125,-0.23614416266186 - 0.192418443440645i
2.9,39.1875,-0.253184799381004 - 0.187520325171983i
2.9,39.25,-0.270141356801969 - 0.181233053756437i
2.9,39.3125,-0.286910270923305 - 0.173569355086258i
2.9,39.375,-0.303390547271044 - 0.164548618779174i
2.9,39.4375,-0.319484040597045 - 0.15419656495209i
2.9,39.5,-0.335095707276587 - 0.142544922615416i
2.9,39.5625,-0.350133835052154 - 0.129631119694926i
2.9,39.625,-0.364510254241908 - 0.115497984076982i
2.9,39.6875,-0.37814053397625 - 0.100193454582839i
2.9,39.75,-0.390944166459054 - 0.0837703003998427i
2.9,39.8125,-0.402844741684807 - 0.0662858472222543i
2.9,39.875,-0.413770114488901 - 0.0478017081731847i
2.9,39.9375,-0.423652565274475 - 0.0283835174827402i
2.9,40,-0.432428955252161 - 0.00810066487753724i
2.9,40.0625,-0.440040876554781 + 0.0129739713148772i
2.9,40.125,-0.446434797151992 + 0.0347642942340203i
2.9,40.1875,-0.451562200094334 + 0.0571912634516488i
2.9,40.25,-0.455379716265265 + 0.0801731763499003i
2.9,40.3125,-0.457849249516713 + 0.103625957179686i
2.9,40.375,-0.458938092810725 + 0.127463454785021i
2.9,40.4375,-0.45861903378913 + 0.151597749671482i
2.9,40.5,-0.456870448046215 + 0.175939470769526i
2.9,40.5625,-0.453676378287496 + 0.200398121903027i
2.9,40.625,-0.449026597521001 + 0.224882417626327i
2.9,40.6875,-0.442916654446028 + 0.249300627745297i
2.9,40.75,-0.435347899276479 + 0.273560929494887i
2.9,40.8125,-0.426327488358667 + 0.297571766012378i
2.9,40.875,-0.415868366111363 + 0.321242209424881i
2.9,40.9375,-0.403989223018685 + 0.344482326565726i
2.9,41,-0.390714428627959 + 0.367203545050886i
2.9,41.0625,-0.37607393871982 + 0.389319017195243i
2.9,41.125,-0.360103175994519 + 0.410743979057921i
2.9,41.1875,-0.342842883730736 + 0.43139610183725i
2.9,41.25,-0.324338951938872 + 0.451195832994501i
2.9,41.3125,-0.304642215678559 + 0.470066724990465i
2.9,41.375,-0.283808225737162 + 0.487935750380342i
2.9,41.4375,-0.261896993146427 + 0.504733602900391i
2.9,41.5,-0.238972711084257 + 0.520394984290384i
2.9,41.5625,-0.215103459679121 + 0.534858875085982i
2.9,41.625,-0.190360899385034 + 0.548068784758991i
2.9,41.6875,-0.164819955943594 + 0.55997297446657i
2.9,41.75,-0.138558496037534 + 0.570524646671019i
2.9,41.8125,-0.111656990780904 + 0.579682099878926i
2.9,41.875,-0.0841981657448877 + 0.587408850785835i
2.9,41.9375,-0.0562666396488904 + 0.593673727556106i
2.9,42,-0.0279485564794399 + 0.598450936881106i
2.9,42.0625,0.000668783490286761 + 0.601720105693252i
2.9,42.125,0.029497288943612 + 0.603466297455673i
2.9,42.1875,0.0584484352176693 + 0.603680003096914i
2.9,42.25,0.0874336115950599 + 0.602357107481962i
2.9,42.3125,0.11636445618406 + 0.599498833236054i
2.9,42.375,0.145153177221239 + 0.595111664345336i
2.9,42.4375,0.173712860396073 + 0.589207252058078i
2.9,42.5,0.20195776231203 + 0.581802305267206i
2.9,42.5625,0.22980359033502 + 0.572918467036301i
2.9,42.625,0.257167768896948 + 0.56258217854496i
2.9,42.6875,0.283969692040972 + 0.550824531644878i
2.9,42.75,0.310130961850577 + 0.537681111395683i
2.9,42.8125,0.335575612510512 + 0.52319183021618i
2.9,42.875,0.360230320069502 + 0.50740075546834i
2.9,42.9375,0.384024598397953 + 0.49035593229823i
2.9,43,0.406890982243835 + 0.47210920339204i
2.9,43.0625,0.428765198618608 + 0.452716027016921i
2.9,43.125,0.449586327970365 + 0.432235294364024i
2.9,43.1875,0.469296956731319 + 0.410729146837395i
2.9,43.25,0.487843322878103 + 0.388262793560749i
2.9,43.3125,0.505175456132337 + 0.364904329013366i
2.9,43.375,0.521247314365139 + 0.340724550359153i
2.9,43.4375,0.536016917658054 + 0.315796773699018i
2.9,43.5,0.549446481315104 + 0.290196648157046i
2.9,43.5625,0.56150254891606 + 0.26400196640808i
2.9,43.625,0.572156126248174 + 0.237292469972162i
2.9,43.6875,0.581382816651775 + 0.210149647345714i
2.9,43.75,0.589162957963868 + 0.18265652281719i
2.9,43.8125,0.595481760844053 + 0.154897433634102i
2.9,43.875,0.60032944782035 + 0.126957793057738i
2.9,43.9375,0.603701391902538 + 0.0989238367705433i
2.9,44,0.605598253081776 + 0.0708823500996004i
2.9,44.0625,0.606026110474865 + 0.0429203735974354i
2.9,44.125,0.604996587288142 + 0.015124884689225i
2.9,44.1875,0.602526965181042 - 0.0124175466368242i
2.9,44.25,0.598640284016915 - 0.0396211297426081i
2.9,44.3125,0.593365422415275 - 0.0664012540100109i
2.9,44.375,0.586737153985046 - 0.0926749188048588i
2.9,44.4375,0.578796173644791 - 0.118361192530625i
2.9,44.5,0.569589088048465 - 0.143381699700904i
2.9,44.5625,0.559168363860729 - 0.167661133972898i
2.9,44.625,0.547592227493003 - 0.19112779398762i
2.9,44.6875,0.534924509948956 - 0.213714137672558i
2.9,44.75,0.521234430664245 - 0.235357349402604i
2.9,44.8125,0.506596314686098 - 0.255999913115066i
2.9,44.875,0.491089238245407 - 0.275590183172796i
2.9,44.9375,0.474796598743859 - 0.294082943510161i
2.9,45,0.457805606419036 - 0.311439944431121i
2.9,45.0625,0.440206696460252 - 0.327630405412804i
2.9,45.125,0.422092862113334 - 0.342631471461126i
2.9,45.1875,0.403558911307996 - 0.356428610026624i
2.9,45.25,0.384700651526035 - 0.369015935276597i
2.9,45.3125,0.365614009948303 - 0.380396446685601i
2.9,45.375,0.346394098304925 - 0.390582169492964i
2.9,45.4375,0.327134234226812 - 0.399594185613123i
2.9,45.5,0.307924933167131 - 0.40746254508583i
2.9,45.5625,0.288852887034223 - 0.414226050113083i
2.9,45.625,0.269999947454809 - 0.419931906121745i
2.9,45.6875,0.251442132975057 - 0.42463523706653i
2.9,45.75,0.233248680422155 - 0.428398465277798i
2.9,45.8125,0.21548116101978 - 0.431290559472382i
2.9,45.875,0.19819268162559 - 0.433386157977654i
2.9,45.9375,0.181427190608935 - 0.434764577650858i
2.9,46,0.16521890640955 - 0.435508722283083i
2.9,46.0625,0.14959188473764 - 0.435703907335386i
2.9,46.125,0.134559737743856 - 0.435436620545405i
2.9,46.1875,0.120125515380352 - 0.434793240160892i
2.9,46.25,0.106281755689175 - 0.43385873421485i
2.9,46.3125,0.093010707005131 - 0.432715365291122i
2.9,46.375,0.0802847211714586 - 0.431441425600879i
2.9,46.4375,0.0680668129658741 - 0.430110026888213i
2.9,46.5,0.0563113771477567 - 0.428787968722212i
2.9,46.5625,0.044965050981232 - 0.427534707153803i
2.9,46.625,0.0339677068678158 - 0.426401443579726i
2.9,46.6875,0.0232535569223594 - 0.425430351041744i
2.9,46.75,0.0127523490142578 - 0.424653952187469i
2.9,46.8125,0.00239063201852914 - 0.424094659827392i
2.9,46.875,-0.00790693319572259 - 0.423764487540904i
2.9,46.9375,-0.0182162411616767 - 0.423664934209939i
2.9,47,-0.0286124118101394 - 0.423787042784896i
2.9,47.0625,-0.0391684868354415 - 0.424111630098107i
2.9,47.125,-0.0499541752609025 - 0.424609681210755i
2.9,47.1875,-0.0610346696325531 - 0.425242898675176i
2.9,47.25,-0.0724695524604089 - 0.425964394271665i
2.9,47.3125,-0.0843118103600398 - 0.426719508283908i
2.9,47.375,-0.0966069708787442 - 0.42744673924833i
2.9,47.4375,-0.10939237427709 - 0.428078765380825i
2.9,47.5,-0.122696589636593 - 0.428543537573533i
2.9,47.5625,-0.13653898163794 - 0.428765422981896i
2.9,47.625,-0.150929431263402 - 0.428666377798814i
2.9,47.6875,-0.165868210584993 - 0.428167127841675i
2.9,47.75,-0.181346008771154 - 0.427188336054878i
2.9,47.8125,-0.197344103543903 - 0.425651736941645i
2.9,47.875,-0.21383466960925 - 0.423481219261461i
2.9,47.9375,-0.230781213127455 - 0.420603840030023i
2.9,48,-0.248139119142811 - 0.416950754893407i
2.9,48.0625,-0.265856297104413 - 0.412458052263804i
2.9,48.125,-0.283873908220362 - 0.407067481138042i
2.9,48.1875,-0.302127157426655 - 0.400727065202776i
2.9,48.25,-0.320546132235047 - 0.393391598587099i
2.9,48.3125,-0.339056670652944 - 0.385023021378126i
2.9,48.375,-0.357581240731046 - 0.375590675692161i
2.9,48.4375,-0.376039815063873 - 0.365071445622068i
2.9,48.5,-0.394350724705857 - 0.353449786696089i
2.9,48.5625,-0.412431478420507 - 0.340717652529817i
2.9,48.625,-0.430199534894084 - 0.326874328088414i
2.9,48.6875,-0.44757301745329 - 0.311926180370464i
2.9,48.75,-0.464471362862164 - 0.295886338361904i
2.9,48.8125,-0.480815897869913 - 0.278774314785481i
2.9,48.875,-0.496530339275743 - 0.260615582498241i
2.9,48.9375,-0.511541215311444 - 0.241441118387892i
2.9,49,-0.525778208068065 - 0.221286927318976i
2.9,49.0625,-0.539174418469189 - 0.200193558119347i
2.9,49.125,-0.551666556889634 - 0.178205622818497i
2.9,49.1875,-0.563195063915178 - 0.15537132939638i
2.9,49.25,-0.573704166925675 - 0.131742037218567i
2.9,49.3125,-0.583141879160097 - 0.107371843163188i
2.9,49.375,-0.591459948694363 - 0.0823172052252091i
2.9,49.4375,-0.598613765345147 - 0.0566366091471671i
2.9,49.5,-0.604562233923448 - 0.0303902823994589i
2.9,49.5625,-0.60926762252265 - 0.00363995863738081i
2.9,49.625,-0.612695394660433 + 0.0235513053905235i
2.9,49.6875,-0.614814034125622 + 0.0511192596118737i
2.9,49.75,-0.61559487133194 + 0.0789985372616923i
2.9,49.8125,-0.615011919869644 + 0.107122679573207i
2.9,49.875,-0.613041731787979 + 0.135424110709521i
2.9,49.9375,-0.609663279945743 + 0.163834066088036i
2.9,50,-0.60485787553718 + 0.192282478226138i
3,25,0.622870196187958 - 0.704950431037317i
3,25.0625,0.594305108204931 - 0.730187829832453i
3,25.125,0.564598497210808 - 0.754286616967083i
3,25.1875,0.533800037483728 - 0.777187536971721i
3,25.25,0.50196284484424 - 0.798833983814011i
3,25.3125,0.469143291311153 - 0.819172225189465i
3,25.375,0.435400803111214 - 0.838151610073584i
3,25.4375,0.400797643858973 - 0.855724758129748i
3,25.5,0.365398684854384 - 0.871847729790559i
3,25.5625,0.329271164546556 - 0.886480176066432i
3,25.625,0.292484439281754 - 0.899585467379583i
3,25.6875,0.255109727491522 - 0.911130800969854i
3,25.75,0.217219849482871 - 0.921087286666519i
3,25.8125,0.178888964967906 - 0.92943001106297i
3,25.875,0.140192310416401 - 0.936138080365039i
3,25.9375,0.101205938233594 - 0.94119464240497i
3,26,0.0620064596597318 - 0.944586888518339i
3,26.0625,0.0226707931600411 - 0.946306036167909i
3,26.125,-0.0167240800724839 - 0.946347293364048i
3,26.1875,-0.05610135204072 - 0.944709806074369i
3,26.25,-0.0953846140061878 - 0.941396589934385i
3,26.3125,-0.134498071585242 - 0.936414447665645i
3,26.375,-0.173366747959379 - 0.929773873677924i
3,26.4375,-0.211916674468347 - 0.921488947377899i
3,26.5,-0.25007506804101 - 0.911577216729256i
3,26.5625,-0.287770495100693 - 0.900059573609477i
3,26.625,-0.324933021756748 - 0.886960122488143i
3,26.6875,-0.361494350259628 - 0.872306043912357i
3,26.75,-0.397387941851415 - 0.856127454228638i
3,26.8125,-0.432549126285895 - 0.83845726289965i
3,26.875,-0.4669151984207 - 0.819331028690367i
3,26.9375,-0.500425502397908 - 0.798786815904288i
3,27,-0.533021504028682 - 0.776865051747723i
3,27.0625,-0.564646852081298 - 0.753608385791745i
3,27.125,-0.595247429240825 - 0.729061552388499i
3,27.1875,-0.62477139356292 - 0.703271236783456i
3,27.25,-0.653169211284091 - 0.676285945549421i
3,27.3125,-0.680393681877261 - 0.648155881853195i
3,27.375,-0.706399956255174 - 0.618932825953078i
3,27.4375,-0.73114554902614 - 0.588670021216096i
3,27.5,-0.754590345697592 - 0.557422065838981i
3,27.5625,-0.776696605704271 - 0.525244810357023i
3,27.625,-0.797428962110137 - 0.492195260931167i
3,27.6875,-0.816754418797722 - 0.458331488315973i
3,27.75,-0.834642345916335 - 0.423712542330232i
3,27.8125,-0.85106447431224 - 0.38839837157804i
3,27.875,-0.865994889610757 - 0.352449748101141i
3,27.9375,-0.879410026562635 - 0.31592819658361i
3,28,-0.891288664206126 - 0.278895927677221i
3,28.0625,-0.901611922332418 - 0.241415774970095i
3,28.125,-0.910363259676175 - 0.20355113508247i
3,28.1875,-0.91752847418538 - 0.165365910341354i
3,28.25,-0.92309570565609 - 0.126924453460448i
3,28.3125,-0.92705544094845 - 0.0882915136323916i
3,28.375,-0.929400521930727 - 0.0495321834280285i
3,28.4375,-0.93012615622879 - 0.0107118458902422i
3,28.5,-0.929229930789448 + 0.0281038787906468i
3,28.5625,-0.926711828197871 + 0.0668491876279562i
3,28.625,-0.922574245622172 + 0.105458150813607i
3,28.6875,-0.916822016192395 + 0.143864769898081i
3,28.75,-0.909462432557032 + 0.182003038734712i
3,28.8125,-0.900505272297926 + 0.219807007720577i
3,28.875,-0.889962824824479 + 0.257210851833717i
3,28.9375,-0.877849919310725 + 0.294148942928651i
3,29,-0.864183953184401 + 0.330555926709313i
3,29.0625,-0.848984920626114 + 0.366366804750423i
3,29.125,-0.832275440489431 + 0.401517021885378i
3,29.1875,-0.814080783009585 + 0.435942559220936i
3,29.25,-0.794428894630188 + 0.469580032976412i
3,29.3125,-0.773350420244019 + 0.502366799278355i
3,29.375,-0.750878722116512 + 0.534241064970567i
3,29.4375,-0.727049894739193 + 0.565142004424554i
3,29.5,-0.701902774845703 + 0.595009882257437i
3,29.5625,-0.675478945815725 + 0.623786181783282i
3,29.625,-0.647822735692452 + 0.651413738940608i
3,29.6875,-0.618981208047855 + 0.67783688135397i
3,29.75,-0.589004144947067 + 0.70300157210184i
3,29.8125,-0.557944021289478 + 0.726855557677218i
3,29.875,-0.525855969839295 + 0.749348519542714i
3,29.9375,-0.492797736303202 + 0.770432228598838i
3,30,-0.458829623866928 + 0.790060701804251i
3,30.0625,-0.424014426666154 + 0.808190360110915i
3,30.125,-0.388417351740077 + 0.824780186806231i
3,30.1875,-0.352105929097805 + 0.839791885289939i
3,30.25,-0.315149909617814 + 0.853190035256732i
3,30.3125,-0.277621150598764 + 0.864942246207301i
3,30.375,-0.239593488884876 + 0.875019307172142i
3,30.4375,-0.201142601599834 + 0.883395331504803i
3,30.5,-0.162345854638962 + 0.890047895585347i
3,30.5625,-0.123282139188665 + 0.894958170271387i
3,30.625,-0.0840316966632993 + 0.898111043943862i
3,30.6875,-0.0446759325717355 + 0.899495236018162i
3,30.75,-0.00529721994645463 + 0.89910339982864i
3,30.8125,0.0340213069138513 + 0.896932213846013i
3,30.875,0.0731959675238577 + 0.892982460252522i
3,30.9375,0.112142758142004 + 0.887259089978628i
3,31,0.150777581481339 + 0.879771273396779i
3,31.0625,0.189016482041242 + 0.87053243597162i
3,31.125,0.22677588582269 + 0.859560278280743i
3,31.1875,0.263972843124696 + 0.846876779944368i
3,31.25,0.300525273068661 + 0.832508187134783i
