"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.4,38.5625,0.0957112450510748 - 0.0286127518489385i
2.4,38.625,0.0938625811792385 - 0.0500236293902335i
2.4,38.6875,0.0898771632911433 - 0.0710622346882057i
2.4,38.75,0.0838184104184476 - 0.0915465683403466i
2.4,38.8125,0.0757641291733949 - 0.111304115299737i
2.4,38.875,0.0658051759064925 - 0.130172836985812i
2.4,38.9375,0.0540440842877233 - 0.148001982100447i
2.4,39,0.0405936812878628 - 0.164652723838858i
2.4,39.0625,0.0255757117430788 - 0.179998633633717i
2.4,39.125,0.00911948877071457 - 0.19392600339087i
2.4,39.1875,-0.0086394156191935 - 0.206334029406423i
2.4,39.25,-0.0275604282087416 - 0.217134871854362i
2.4,39.3125,-0.0474991717203009 - 0.226253603967363i
2.4,39.375,-0.0683085950528986 - 0.233628064872663i
2.4,39.4375,-0.0898400324348001 - 0.239208629563i
2.4,39.5,-0.111944189246969 - 0.242957908749854i
2.4,39.5625,-0.13447205391425 - 0.24485039042919i
2.4,39.625,-0.157275736621707 - 0.244872033948409i
2.4,39.6875,-0.180209236704691 - 0.243019826249959i
2.4,39.75,-0.203129141400524 - 0.239301308826916i
2.4,39.8125,-0.225895259260597 - 0.233734082796143i
2.4,39.875,-0.248371191928846 - 0.226345298405048i
2.4,39.9375,-0.270424848223128 - 0.217171134261029i
2.4,40,-0.291928904536398 - 0.206256270625692i
2.4,40.0625,-0.312761215530779 - 0.193653360259113i
2.4,40.125,-0.332805178954065 - 0.179422499540236i
2.4,40.1875,-0.351950058187609 - 0.163630701930135i
2.4,40.25,-0.3700912658572 - 0.146351375285003i
2.4,40.3125,-0.387130611522965 - 0.127663804062536i
2.4,40.375,-0.402976516126104 - 0.107652637094237i
2.4,40.4375,-0.417544195523594 - 0.0864073813103132i
2.4,40.5,-0.43075581509805 - 0.0640219015970136i
2.4,40.5625,-0.442540617098744 - 0.04059392682977i
2.4,40.625,-0.45283502205908 - 0.0162245620518285i
2.4,40.6875,-0.461582705351828 + 0.00898219325152501i
2.4,40.75,-0.468734649690848 + 0.034919920806331i
2.4,40.8125,-0.474249174170584 + 0.061480253090041i
2.4,40.875,-0.478091940253947 + 0.0885533366226355i
