trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,8,21,,7.6,Simul_0,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_-1,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_-2,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_-3,23.1,7.67,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_-4,23.1,7.67,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,9,21,,8.55,Simul_+4,23.5,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_+3,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_+2,23.5,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_+1,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_0,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_-1,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_-2,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_-3,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_-4,23.4,7.79,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,10,21,,9.5,Simul_+4,23.6,7.84,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_+3,23.6,7.83,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_+2,23.6,7.84,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_+1,23.5,7.81,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_0,23.7,7.85,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_-1,23.5,7.81,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_-2,23.6,7.84,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_-3,23.6,7.83,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_-4,23.6,7.84,,9.5,0.0,0.0,2.0
Linear,Without Lens,11,21,,10.45,Simul_+4,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_+3,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_+2,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_+1,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_0,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_-1,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_-2,23.5,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_-3,23.4,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_-4,23.5,7.79,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,12,21,,11.4,Simul_+4,23.1,7.67,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_+3,23.1,7.67,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_+2,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_+1,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_0,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_-1,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_-2,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_-3,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_-4,23.1,7.66,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,13,21,,12.35,Simul_+4,22.6,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_+3,22.6,7.5,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_+2,22.6,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_+1,22.6,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_0,22.5,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_-1,22.5,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_-2,22.5,7.49,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_-3,22.6,7.5,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_-4,22.6,7.5,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,14,21,,13.3,Simul_+4,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_+3,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_+2,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_+1,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_0,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_-1,21.9,7.26,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_-2,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_-3,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_-4,21.9,7.27,,13.299999999999999,0.0,3.799999999999999,2.0
