scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,53.27999878,53.27999878,0.00000000,-7.33824682
Simul_+0deg,0,53.63999557,53.63999557,0.00000000,-7.01106119
Simul_+0deg,0,54.00000000,54.00000000,0.00000000,-6.67593241
Simul_+0deg,0,54.35999680,54.35999680,0.00000000,-6.52563143
Simul_+0deg,0,54.71999741,54.71999741,0.00000000,-6.35499048
Simul_+0deg,0,55.07999802,55.07999802,0.00000000,-6.16651917
Simul_+0deg,0,55.43999863,55.43999863,0.00000000,-5.96271706
Simul_+0deg,0,55.79999542,55.79999924,0.00000000,-5.74601936
Simul_+0deg,0,56.15999603,56.15999603,0.00000000,-5.63803196
Simul_+0deg,0,56.51999664,56.51999664,0.00000000,-5.66205788
Simul_+0deg,0,56.87999725,56.87999725,0.00000000,-5.66575432
Simul_+0deg,0,57.23999786,57.23999786,0.00000000,-5.64906788
Simul_+0deg,0,57.59999847,57.59999847,0.00000000,-5.61223125
Simul_+0deg,0,57.95999908,57.95999908,0.00000000,-5.55575562
Simul_+0deg,0,58.31999588,58.31999588,0.00000000,-5.74926615
Simul_+0deg,0,58.67999649,58.67999649,0.00000000,-5.95457268
Simul_+0deg,0,59.03999329,59.03999329,0.00000000,-6.13419628
Simul_+0deg,0,59.39999390,59.39999390,0.00000000,-6.28443289
Simul_+0deg,0,59.75999832,59.75999832,0.00000000,-6.40189457
Simul_+0deg,0,60.11999893,60.11999893,0.00000000,-6.58197641
Simul_+0deg,0,60.47999573,60.47999573,0.00000000,-6.92272377
Simul_+0deg,0,60.83999634,60.83999634,0.00000000,-7.21948242
Simul_+0deg,0,61.19999313,61.19999313,0.00000000,-7.46079922
Simul_+0deg,0,61.56000137,61.56000137,0.00000000,-7.63589382
Simul_+0deg,0,61.91999817,61.91999817,0.00000000,-7.73601770
Simul_+0deg,0,62.27999878,62.27999878,0.00000000,-7.94420052
Simul_+0deg,0,62.63999557,62.63999557,0.00000000,-8.13456249
Simul_+0deg,0,62.99999619,62.99999619,0.00000000,-8.24531746
Simul_+0deg,0,63.35999298,63.35999298,0.00000000,-8.27013302
Simul_+0deg,0,63.71999741,63.71999741,0.00000000,-8.20753193
Simul_+0deg,0,64.07999420,64.07999420,0.00000000,-8.10426903
Simul_+0deg,0,64.43999481,64.43999481,0.00000000,-8.10662270
Simul_+0deg,0,64.79999542,64.79999542,0.00000000,-8.08578300
Simul_+0deg,0,65.15999603,65.15999603,0.00000000,-8.04207993
Simul_+0deg,0,65.51999664,65.51999664,0.00000000,-7.97619820
