scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,59.03999329,59.03999329,0.00000000,13.19468403
Simul_-45deg,-45,59.39999390,59.39999390,0.00000000,13.07635307
Simul_-45deg,-45,59.75999832,59.75999832,0.00000000,12.96834850
Simul_-45deg,-45,60.11999893,60.11999893,0.00000000,12.82890511
Simul_-45deg,-45,60.47999573,60.47999573,0.00000000,12.61219025
Simul_-45deg,-45,60.83999634,60.83999634,0.00000000,12.40284538
Simul_-45deg,-45,61.19999313,61.19999313,0.00000000,12.20253563
Simul_-45deg,-45,61.56000137,61.56000137,0.00000000,12.01305008
Simul_-45deg,-45,61.91999817,61.91999817,0.00000000,11.83629990
Simul_-45deg,-45,62.27999878,62.27999878,0.00000000,11.55080318
Simul_-45deg,-45,62.63999557,62.63999557,0.00000000,11.23191738
Simul_-45deg,-45,62.99999619,62.99999619,0.00000000,10.91503906
Simul_-45deg,-45,63.35999298,63.35999298,0.00000000,10.60253048
Simul_-45deg,-45,63.71999741,63.71999741,0.00000000,10.29723263
Simul_-45deg,-45,64.07999420,64.07999420,0.00000000,9.96502781
Simul_-45deg,-45,64.43999481,64.43999481,0.00000000,9.49656868
Simul_-45deg,-45,64.79999542,64.79999542,0.00000000,9.01198196
Simul_-45deg,-45,65.15999603,65.15999603,0.00000000,8.51202869
Simul_-45deg,-45,65.51999664,65.51999664,0.00000000,7.99827576
Simul_-45deg,-45,65.87999725,65.87999725,0.00000000,7.47345686
Simul_-45deg,-45,66.23999786,66.23999786,0.00000000,6.83749771
Simul_-45deg,-45,66.59999847,66.59999847,0.00000000,6.10395241
Simul_-45deg,-45,66.95999146,66.95999146,0.00000000,5.30991030
Simul_-45deg,-45,67.31999207,67.31999207,0.00000000,4.44642448
Simul_-45deg,-45,67.68000031,67.68000031,0.00000000,3.50327849
Simul_-45deg,-45,68.04000092,68.04000092,0.00000000,2.47122025
Simul_-45deg,-45,68.39999390,68.39999390,0.00000000,1.33677149
Simul_-45deg,-45,68.75999451,68.75999451,0.00000000,0.05622074
Simul_-45deg,-45,69.11999512,69.11999512,0.00000000,-1.40049946
Simul_-45deg,-45,69.47999573,69.47999573,0.00000000,-3.05937171
Simul_-45deg,-45,69.83999634,69.83999634,0.00000000,-4.90633392
Simul_-45deg,-45,70.19999695,70.19999695,0.00000000,-6.26186800
Simul_-45deg,-45,70.55999756,70.55999756,0.00000000,-6.68429136
Simul_-45deg,-45,70.91999817,70.91999817,0.00000000,-6.33704758
Simul_-45deg,-45,71.27999115,71.27999115,0.00000000,-5.37493658
Simul_-45deg,-45,71.63999939,71.63999939,0.00000000,-4.11735916
Simul_-45deg,-45,72.00000000,72.00000000,0.00000000,-2.80093884
Simul_-45deg,-45,72.36000061,72.36000061,0.00000000,-1.88143778
Simul_-45deg,-45,72.71999359,72.71999359,0.00000000,-1.02395570
Simul_-45deg,-45,73.07999420,73.07999420,0.00000000,-0.22592978
Simul_-45deg,-45,73.43999481,73.43999481,0.00000000,0.51720953
Simul_-45deg,-45,73.79999542,73.79999542,0.00000000,1.21052969
Simul_-45deg,-45,74.15999603,74.15999603,0.00000000,1.64010537
Simul_-45deg,-45,74.51999664,74.51999664,0.00000000,1.79112601
Simul_-45deg,-45,74.87999725,74.87999725,0.00000000,1.95062101
Simul_-45deg,-45,75.23999023,75.23999023,0.00000000,2.11750460
Simul_-45deg,-45,75.59999084,75.59999084,0.00000000,2.29073572
Simul_-45deg,-45,75.95999908,75.95999908,0.00000000,2.46935177
Simul_-45deg,-45,76.31999969,76.31999969,0.00000000,2.22539759
Simul_-45deg,-45,76.67999268,76.67999268,0.00000000,1.92481613
Simul_-45deg,-45,77.03999329,77.03999329,0.00000000,1.62128043
Simul_-45deg,-45,77.39999390,77.39999390,0.00000000,1.31573689
Simul_-45deg,-45,77.76000214,77.76000214,0.00000000,1.00939739
Simul_-45deg,-45,78.11999512,78.11999512,0.00000000,0.57543486
Simul_-45deg,-45,78.47999573,78.47999573,0.00000000,-0.15257455
Simul_-45deg,-45,78.83999634,78.83999634,0.00000000,-0.94494331
Simul_-45deg,-45,79.19999695,79.19999695,0.00000000,-1.81366336
Simul_-45deg,-45,79.55998993,79.55998993,0.00000000,-2.77405143
Simul_-45deg,-45,79.91999817,79.91999817,0.00000000,-3.84620857
Simul_-45deg,-45,80.27999878,80.27999878,0.00000000,-4.96263027
Simul_-45deg,-45,80.63999939,80.63999939,0.00000000,-6.09405708
Simul_-45deg,-45,80.99999237,80.99999237,0.00000000,-7.17941189
Simul_-45deg,-45,81.35999298,81.35999298,0.00000000,-8.07176876
Simul_-45deg,-45,81.72000122,81.72000122,0.00000000,-8.56582546
Simul_-45deg,-45,82.07999420,82.07999420,0.00000000,-8.30802441
Simul_-45deg,-45,82.43999481,82.43999481,0.00000000,-7.11822796
Simul_-45deg,-45,82.79999542,82.79999542,0.00000000,-5.95375299
Simul_-45deg,-45,83.15999603,83.15999603,0.00000000,-4.85761833
Simul_-45deg,-45,83.51998901,83.51998901,0.00000000,-3.84225130
Simul_-45deg,-45,83.87999725,83.87999725,0.00000000,-2.90657783
Simul_-45deg,-45,84.23999786,84.23999786,0.00000000,-2.26847506
Simul_-45deg,-45,84.59999847,84.59999847,0.00000000,-1.77112687
Simul_-45deg,-45,84.95999146,84.95999146,0.00000000,-1.29387784
Simul_-45deg,-45,85.31999207,85.31999207,0.00000000,-0.83597076
Simul_-45deg,-45,85.67999268,85.67999268,0.00000000,-0.39651927
Simul_-45deg,-45,86.04000092,86.04000092,0.00000000,-0.03275924
Simul_-45deg,-45,86.39999390,86.39999390,0.00000000,-0.13370115
Simul_-45deg,-45,86.75999451,86.75999451,0.00000000,-0.21912949
Simul_-45deg,-45,87.11999512,87.11999512,0.00000000,-0.28806716
Simul_-45deg,-45,87.47999573,87.47999573,0.00000000,-0.33969489
Simul_-45deg,-45,87.83999634,87.83999634,0.00000000,-0.37337917
Simul_-45deg,-45,88.19999695,88.19999695,0.00000000,-0.69528449
Simul_-45deg,-45,88.55999756,88.55999756,0.00000000,-1.27958298
Simul_-45deg,-45,88.91999817,88.91999817,0.00000000,-1.89150453
Simul_-45deg,-45,89.27999115,89.27999115,0.00000000,-2.53052330
Simul_-45deg,-45,89.63999176,89.63999176,0.00000000,-3.19430876
Simul_-45deg,-45,90.00000000,90.00000000,0.00000000,-3.87760663
Simul_-45deg,-45,90.35999298,90.35999298,0.00000000,-5.10042477
Simul_-45deg,-45,90.71999359,90.71999359,0.00000000,-6.52308941
Simul_-45deg,-45,91.07999420,91.07999420,0.00000000,-8.22348785
Simul_-45deg,-45,91.43999481,91.43999481,0.00000000,-10.33546066
Simul_-45deg,-45,91.79999542,91.79999542,0.00000000,-13.11924076
Simul_-45deg,-45,92.15999603,92.15999603,0.00000000,-16.61397552
Simul_-45deg,-45,92.51999664,92.51999664,0.00000000,-19.47124672
Simul_-45deg,-45,92.87999725,92.87999725,0.00000000,-18.70842743
Simul_-45deg,-45,93.23999023,93.23999023,0.00000000,-15.48011398
Simul_-45deg,-45,93.59999084,93.59999084,0.00000000,-12.53014565
Simul_-45deg,-45,93.95999908,93.95999908,0.00000000,-10.17466164
Simul_-45deg,-45,94.31999969,94.31999969,0.00000000,-8.74114895
Simul_-45deg,-45,94.67999268,94.67999268,0.00000000,-7.52433586
Simul_-45deg,-45,95.03999329,95.03999329,0.00000000,-6.43390942
Simul_-45deg,-45,95.39999390,95.39999390,0.00000000,-5.45098877
Simul_-45deg,-45,95.75999451,95.75999451,0.00000000,-4.55899668
Simul_-45deg,-45,96.11999512,96.11999512,0.00000000,-3.98030496
Simul_-45deg,-45,96.47999573,96.47999573,0.00000000,-3.86960292
Simul_-45deg,-45,96.83999634,96.83999634,0.00000000,-3.71947265
Simul_-45deg,-45,97.19999695,97.19999695,0.00000000,-3.53395605
Simul_-45deg,-45,97.55998993,97.55998993,0.00000000,-3.31759834
Simul_-45deg,-45,97.91999817,97.91999817,0.00000000,-3.07517290
Simul_-45deg,-45,98.27999878,98.27999878,0.00000000,-3.36539006
Simul_-45deg,-45,98.63999176,98.63999176,0.00000000,-3.80613232
Simul_-45deg,-45,98.99999237,98.99999237,0.00000000,-4.23368835
Simul_-45deg,-45,99.35999298,99.35999298,0.00000000,-4.63874626
Simul_-45deg,-45,99.71999359,99.71999359,0.00000000,-5.01000977
Simul_-45deg,-45,100.07999420,100.07999420,0.00000000,-5.48277283
Simul_-45deg,-45,100.43999481,100.43999481,0.00000000,-6.51787519
Simul_-45deg,-45,100.79999542,100.79999542,0.00000000,-7.67581415
Simul_-45deg,-45,101.15999603,101.15999603,0.00000000,-8.98179817
Simul_-45deg,-45,101.51998901,101.51998901,0.00000000,-10.46261692
Simul_-45deg,-45,101.87999725,101.87999725,0.00000000,-12.13261223
Simul_-45deg,-45,102.23999786,102.23999786,0.00000000,-14.25721645
Simul_-45deg,-45,102.59999847,102.59999847,0.00000000,-16.99596214
Simul_-45deg,-45,102.95999146,102.95999146,0.00000000,-20.04716492
Simul_-45deg,-45,103.31999207,103.31999207,0.00000000,-21.37669373
Simul_-45deg,-45,103.67999268,103.67999268,0.00000000,-19.15585327
Simul_-45deg,-45,104.03999329,104.03999329,0.00000000,-16.19612312
Simul_-45deg,-45,104.39999390,104.39999390,0.00000000,-14.19135094
Simul_-45deg,-45,104.75999451,104.75999451,0.00000000,-12.44463062
Simul_-45deg,-45,105.11999512,105.11999512,0.00000000,-10.93709183
Simul_-45deg,-45,105.47999573,105.47999573,0.00000000,-9.62554836
Simul_-45deg,-45,105.83998871,105.83998871,0.00000000,-8.47122383
Simul_-45deg,-45,106.19999695,106.19999695,0.00000000,-7.89341879
Simul_-45deg,-45,106.55999756,106.55999756,0.00000000,-7.65262794
