scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_lens,17,13.35,0,Simul_+60deg,-0.4,0.93
half_lens,17,13.35,1,Simul_+45deg,0.7,1.11
half_lens,17,13.35,2,Simul_+30deg,-2.1,0.69
half_lens,17,13.35,3,Simul_+15deg,3.1,1.58
half_lens,17,13.35,4,Simul_+0deg,5.8,2.23
half_lens,17,13.35,5,Simul_-15deg,7.0,2.57
half_lens,17,13.35,6,Simul_-30deg,4.5,1.92
half_lens,17,13.35,7,Simul_-45deg,0.4,1.04
half_lens,17,13.35,8,Simul_-60deg,3.0,1.56
half_lens,18,14.13,0,Simul_+60deg,-1.2,0.8
half_lens,18,14.13,1,Simul_+45deg,1.5,1.26
half_lens,18,14.13,2,Simul_+30deg,0.1,1.01
half_lens,18,14.13,3,Simul_+15deg,5.1,2.05
half_lens,18,14.13,4,Simul_+0deg,4.8,1.98
half_lens,18,14.13,5,Simul_-15deg,5.9,2.23
half_lens,18,14.13,6,Simul_-30deg,2.2,1.39
half_lens,18,14.13,7,Simul_-45deg,-0.9,0.85
half_lens,18,14.13,8,Simul_-60deg,2.4,1.43
half_lens,19,14.92,0,Simul_+60deg,-1.0,0.84
half_lens,19,14.92,1,Simul_+45deg,2.4,1.43
half_lens,19,14.92,2,Simul_+30deg,1.4,1.19
half_lens,19,14.92,3,Simul_+15deg,5.2,2.06
half_lens,19,14.92,4,Simul_+0deg,4.2,1.83
half_lens,19,14.92,5,Simul_-15deg,5.4,2.14
half_lens,19,14.92,6,Simul_-30deg,1.5,1.26
half_lens,19,14.92,7,Simul_-45deg,-1.6,0.76
half_lens,19,14.92,8,Simul_-60deg,1.8,1.32
half_lens,20,15.7,0,Simul_+60deg,-0.1,0.97
half_lens,20,15.7,1,Simul_+45deg,3.0,1.57
half_lens,20,15.7,2,Simul_+30deg,5.2,2.08
half_lens,20,15.7,3,Simul_+15deg,5.7,2.21
half_lens,20,15.7,4,Simul_+0deg,4.1,1.82
half_lens,20,15.7,5,Simul_-15deg,4.2,1.84
half_lens,20,15.7,6,Simul_-30deg,0.8,1.12
half_lens,20,15.7,7,Simul_-45deg,-2.2,0.67
half_lens,20,15.7,8,Simul_-60deg,1.1,1.19
half_lens,21,16.49,0,Simul_+60deg,0.5,1.08
half_lens,21,16.49,1,Simul_+45deg,4.6,1.92
half_lens,21,16.49,2,Simul_+30deg,6.0,2.25
half_lens,21,16.49,3,Simul_+15deg,6.0,2.3
half_lens,21,16.49,4,Simul_+0deg,4.1,1.83
half_lens,21,16.49,5,Simul_-15deg,3.4,1.64
half_lens,21,16.49,6,Simul_-30deg,0.6,1.09
half_lens,21,16.49,7,Simul_-45deg,-2.3,0.66
half_lens,21,16.49,8,Simul_-60deg,0.8,1.13
half_lens,22,17.27,0,Simul_+60deg,-0.0,0.99
half_lens,22,17.27,1,Simul_+45deg,6.3,2.39
half_lens,22,17.27,2,Simul_+30deg,7.0,2.57
half_lens,22,17.27,3,Simul_+15deg,5.4,2.14
half_lens,22,17.27,4,Simul_+0deg,3.3,1.63
half_lens,22,17.27,5,Simul_-15deg,2.7,1.5
half_lens,22,17.27,6,Simul_-30deg,0.3,1.03
half_lens,22,17.27,7,Simul_-45deg,-1.9,0.71
half_lens,22,17.27,8,Simul_-60deg,0.9,1.15
half_lens,23,18.06,0,Simul_+60deg,0.5,1.07
half_lens,23,18.06,1,Simul_+45deg,7.6,2.73
half_lens,23,18.06,2,Simul_+30deg,7.3,2.63
half_lens,23,18.06,3,Simul_+15deg,5.4,2.14
half_lens,23,18.06,4,Simul_+0deg,3.5,1.67
half_lens,23,18.06,5,Simul_-15deg,2.5,1.46
half_lens,23,18.06,6,Simul_-30deg,0.6,1.1
half_lens,23,18.06,7,Simul_-45deg,-1.2,0.8
half_lens,23,18.06,8,Simul_-60deg,1.8,1.32
half_lens,24,18.84,0,Simul_+60deg,0.2,1.01
half_lens,24,18.84,1,Simul_+45deg,8.9,3.1
half_lens,24,18.84,2,Simul_+30deg,7.1,2.59
half_lens,24,18.84,3,Simul_+15deg,4.5,1.88
half_lens,24,18.84,4,Simul_+0deg,2.9,1.54
half_lens,24,18.84,5,Simul_-15deg,1.8,1.32
half_lens,24,18.84,6,Simul_-30deg,0.6,1.1
half_lens,24,18.84,7,Simul_-45deg,-0.7,0.87
half_lens,24,18.84,8,Simul_-60deg,2.6,1.47
half_lens,25,19.63,0,Simul_+60deg,1.0,1.16
half_lens,25,19.63,1,Simul_+45deg,9.8,3.37
half_lens,25,19.63,2,Simul_+30deg,6.9,2.53
half_lens,25,19.63,3,Simul_+15deg,4.3,1.8
half_lens,25,19.63,4,Simul_+0deg,2.3,1.41
half_lens,25,19.63,5,Simul_-15deg,2.1,1.36
half_lens,25,19.63,6,Simul_-30deg,1.1,1.17
half_lens,25,19.63,7,Simul_-45deg,-0.1,0.97
half_lens,25,19.63,8,Simul_-60deg,3.5,1.67
half_lens,26,20.41,0,Simul_+60deg,3.1,1.59
half_lens,26,20.41,1,Simul_+45deg,10.0,3.39
half_lens,26,20.41,2,Simul_+30deg,7.2,2.62
half_lens,26,20.41,3,Simul_+15deg,3.2,1.6
half_lens,26,20.41,4,Simul_+0deg,1.3,1.2
half_lens,26,20.41,5,Simul_-15deg,2.6,1.47
half_lens,26,20.41,6,Simul_-30deg,1.0,1.14
half_lens,26,20.41,7,Simul_-45deg,-0.2,0.95
half_lens,26,20.41,8,Simul_-60deg,3.5,1.67
half_lens,27,21.2,0,Simul_+60deg,3.7,1.72
half_lens,27,21.2,1,Simul_+45deg,10.8,3.68
half_lens,27,21.2,2,Simul_+30deg,7.4,2.67
half_lens,27,21.2,3,Simul_+15deg,1.8,1.31
half_lens,27,21.2,4,Simul_+0deg,0.9,1.14
half_lens,27,21.2,5,Simul_-15deg,3.0,1.56
half_lens,27,21.2,6,Simul_-30deg,1.7,1.3
half_lens,27,21.2,7,Simul_-45deg,1.1,1.17
half_lens,27,21.2,8,Simul_-60deg,4.3,1.88
half_lens,28,21.98,0,Simul_+60deg,5.2,2.11
half_lens,28,21.98,1,Simul_+45deg,11.1,3.77
half_lens,28,21.98,2,Simul_+30deg,7.0,2.54
half_lens,28,21.98,3,Simul_+15deg,1.4,1.22
half_lens,28,21.98,4,Simul_+0deg,0.4,1.05
half_lens,28,21.98,5,Simul_-15deg,3.4,1.66
half_lens,28,21.98,6,Simul_-30deg,1.7,1.29
half_lens,28,21.98,7,Simul_-45deg,1.1,1.19
half_lens,28,21.98,8,Simul_-60deg,4.3,1.85
half_lens,29,22.77,0,Simul_+60deg,6.0,2.32
half_lens,29,22.77,1,Simul_+45deg,11.0,3.76
half_lens,29,22.77,2,Simul_+30deg,6.5,2.42
half_lens,29,22.77,3,Simul_+15deg,1.1,1.17
half_lens,29,22.77,4,Simul_+0deg,-0.0,0.99
half_lens,29,22.77,5,Simul_-15deg,3.7,1.71
half_lens,29,22.77,6,Simul_-30deg,1.6,1.28
half_lens,29,22.77,7,Simul_-45deg,1.0,1.16
half_lens,29,22.77,8,Simul_-60deg,4.0,1.79
half_lens,30,23.55,0,Simul_+60deg,6.6,2.46
half_lens,30,23.55,1,Simul_+45deg,11.0,3.74
half_lens,30,23.55,2,Simul_+30deg,5.8,2.21
half_lens,30,23.55,3,Simul_+15deg,1.5,1.26
half_lens,30,23.55,4,Simul_+0deg,0.1,1.01
half_lens,30,23.55,5,Simul_-15deg,3.5,1.69
half_lens,30,23.55,6,Simul_-30deg,1.9,1.34
half_lens,30,23.55,7,Simul_-45deg,1.3,1.22
half_lens,30,23.55,8,Simul_-60deg,3.7,1.72
half_lens,31,24.34,0,Simul_+60deg,6.7,2.49
half_lens,31,24.34,1,Simul_+45deg,10.7,3.65
half_lens,31,24.34,2,Simul_+30deg,5.0,2.03
half_lens,31,24.34,3,Simul_+15deg,2.3,1.41
half_lens,31,24.34,4,Simul_+0deg,1.4,1.22
half_lens,31,24.34,5,Simul_-15deg,2.0,1.3
half_lens,31,24.34,6,Simul_-30deg,1.3,1.17
half_lens,31,24.34,7,Simul_-45deg,1.4,1.2
half_lens,31,24.34,8,Simul_-60deg,3.7,1.68
half_lens,32,25.12,0,Simul_+60deg,6.5,2.45
half_lens,32,25.12,1,Simul_+45deg,9.5,3.29
half_lens,32,25.12,2,Simul_+30deg,5.0,2.02
half_lens,32,25.12,3,Simul_+15deg,1.8,1.31
half_lens,32,25.12,4,Simul_+0deg,1.3,1.2
half_lens,32,25.12,5,Simul_-15deg,2.7,1.52
half_lens,32,25.12,6,Simul_-30deg,1.4,1.24
half_lens,32,25.12,7,Simul_-45deg,0.5,1.05
half_lens,32,25.12,8,Simul_-60deg,2.9,1.53
