scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_wolens,21,16.49,2,Simul_+2,0.1,1.0
half_wolens,21,16.49,3,Simul_+1,0.1,1.01
half_wolens,21,16.49,4,Simul_0,0.1,1.0
half_wolens,21,16.49,5,Simul_-1,0.1,1.01
half_wolens,21,16.49,6,Simul_-2,0.1,1.01
half_wolens,21,16.49,7,Simul_-3,0.1,1.01
half_wolens,21,16.49,8,Simul_-4,0.1,1.01
half_wolens,22,17.27,0,Simul_+4,-0.4,0.94
half_wolens,22,17.27,1,Simul_+3,-0.3,0.95
half_wolens,22,17.27,2,Simul_+2,-0.3,0.95
half_wolens,22,17.27,3,Simul_+1,-0.3,0.95
half_wolens,22,17.27,4,Simul_0,-0.3,0.95
half_wolens,22,17.27,5,Simul_-1,-0.2,0.96
half_wolens,22,17.27,6,Simul_-2,-0.2,0.96
half_wolens,22,17.27,7,Simul_-3,-0.2,0.96
half_wolens,22,17.27,8,Simul_-4,-0.2,0.97
half_wolens,23,18.06,0,Simul_+4,-0.4,0.92
half_wolens,23,18.06,1,Simul_+3,-0.5,0.92
half_wolens,23,18.06,2,Simul_+2,-0.5,0.92
half_wolens,23,18.06,3,Simul_+1,-0.5,0.92
half_wolens,23,18.06,4,Simul_0,-0.5,0.92
half_wolens,23,18.06,5,Simul_-1,-0.5,0.91
half_wolens,23,18.06,6,Simul_-2,-0.5,0.91
half_wolens,23,18.06,7,Simul_-3,-0.5,0.91
half_wolens,23,18.06,8,Simul_-4,-0.5,0.91
half_wolens,24,18.84,0,Simul_+4,-0.7,0.89
half_wolens,24,18.84,1,Simul_+3,-0.7,0.89
half_wolens,24,18.84,2,Simul_+2,-0.7,0.89
half_wolens,24,18.84,3,Simul_+1,-0.7,0.89
half_wolens,24,18.84,4,Simul_0,-0.6,0.89
half_wolens,24,18.84,5,Simul_-1,-0.7,0.89
half_wolens,24,18.84,6,Simul_-2,-0.7,0.89
half_wolens,24,18.84,7,Simul_-3,-0.6,0.89
half_wolens,24,18.84,8,Simul_-4,-0.6,0.89
half_wolens,25,19.63,0,Simul_+4,-0.7,0.88
half_wolens,25,19.63,1,Simul_+3,-0.7,0.88
half_wolens,25,19.63,2,Simul_+2,-0.8,0.87
half_wolens,25,19.63,3,Simul_+1,-0.8,0.88
half_wolens,25,19.63,4,Simul_0,-0.8,0.87
half_wolens,25,19.63,5,Simul_-1,-0.8,0.87
half_wolens,25,19.63,6,Simul_-2,-0.8,0.87
half_wolens,25,19.63,7,Simul_-3,-0.8,0.87
half_wolens,25,19.63,8,Simul_-4,-0.8,0.86
half_wolens,26,20.41,0,Simul_+4,-1.7,0.74
half_wolens,26,20.41,1,Simul_+3,-1.6,0.75
half_wolens,26,20.41,2,Simul_+2,-1.6,0.75
half_wolens,26,20.41,3,Simul_+1,-1.6,0.74
half_wolens,26,20.41,4,Simul_0,-1.6,0.75
half_wolens,26,20.41,5,Simul_-1,-1.6,0.74
half_wolens,26,20.41,6,Simul_-2,-1.5,0.76
half_wolens,26,20.41,7,Simul_-3,-1.5,0.76
half_wolens,26,20.41,8,Simul_-4,-1.5,0.76
half_wolens,27,21.2,0,Simul_+4,-1.3,0.79
half_wolens,27,21.2,1,Simul_+3,-1.3,0.79
half_wolens,27,21.2,2,Simul_+2,-1.4,0.79
half_wolens,27,21.2,3,Simul_+1,-1.3,0.79
half_wolens,27,21.2,4,Simul_0,-1.3,0.79
half_wolens,27,21.2,5,Simul_-1,-1.3,0.8
half_wolens,27,21.2,6,Simul_-2,-1.3,0.79
half_wolens,27,21.2,7,Simul_-3,-1.4,0.78
half_wolens,27,21.2,8,Simul_-4,-1.3,0.79
half_wolens,28,21.98,0,Simul_+4,-1.6,0.75
half_wolens,28,21.98,1,Simul_+3,-1.6,0.74
