freq_hz,freq_ghz,dataset,sv1,sv2,sv3,condition_number,effective_rank,capacity_20db_bps_hz
38345000000.0,38.345,With Lens,0.12424280734557458,0.07620695126900129,0.06408337268269707,1.938768234948423,2.546008091189617,1.0392731104406208
38350000000.0,38.35,With Lens,0.12427787890623412,0.07604101305438157,0.06408737692400304,1.939194344833414,2.5442962512399747,1.0385533004846856
38355000000.0,38.355,With Lens,0.12422931902114243,0.07582282498189195,0.06421133133317751,1.9346946472195956,2.544422702263158,1.0375061098846579
38360000000.0,38.36,With Lens,0.12413090278605234,0.07562262938196501,0.06438110454702307,1.928064199261894,2.5457531029346767,1.0364283977565711
38365000000.0,38.365,With Lens,0.1240294765922987,0.07548224960236719,0.06449552063166981,1.9230711742079556,2.546981780811989,1.0353943673037116
38370000000.0,38.37,With Lens,0.1239673332286937,0.07541284043366656,0.06449113477265626,1.9222383613763745,2.547030797992297,1.0344571360039285
38375000000.0,38.375,With Lens,0.12396013750156086,0.07542584892032546,0.06436631447030573,1.925854206842116,2.545807821261512,1.0338002629378582
38380000000.0,38.38,With Lens,0.12398787520457008,0.0755332326856267,0.06417674810352547,1.9319750356400336,2.5442557793613343,1.0336441053022913
38385000000.0,38.385,With Lens,0.12401004410107692,0.07570922013348742,0.0640149446359095,1.9372045825610678,2.5436452984104916,1.0340166447811867
38390000000.0,38.39,With Lens,0.12399226869556935,0.07588090464168648,0.06396049369938453,1.9385758540003655,2.544651117172594,1.0346320397634958
38395000000.0,38.395,With Lens,0.12392217615954265,0.075975497870847,0.06403110013804326,1.935343542315867,2.547011423038129,1.0350412510814224
38400000000.0,38.4,With Lens,0.1238059551550959,0.07596953598399159,0.06418406104328492,1.928920562873121,2.549978678084452,1.034918139930042
38405000000.0,38.405,With Lens,0.12366426854399078,0.07589211386106198,0.06436107279508833,1.9214140345004957,2.5529007348456787,1.0342892472446552
38410000000.0,38.41,With Lens,0.12352959808626886,0.07580287813166448,0.06451502711702015,1.9147414735206656,2.555379987678803,1.0335204107544869
38415000000.0,38.415,With Lens,0.12343819909296419,0.07576565589654764,0.06460423497108599,1.910682777192698,2.5570807896038183,1.0330593419902996
38420000000.0,38.42,With Lens,0.12341731010524498,0.0758154572891979,0.06459813213168529,1.9105399186102623,2.5576542597420393,1.0331662797832613
38425000000.0,38.425,With Lens,0.12347534928062974,0.07593172868223051,0.06450882449513166,1.9140846271342016,2.556971591816801,1.033848277580598
38430000000.0,38.43,With Lens,0.12360192590615712,0.07605961831043859,0.0643970358174211,1.9193729080418256,2.5553745229035587,1.035020300438708
38435000000.0,38.435,With Lens,0.12376813294853939,0.07616481287922335,0.06432708329132748,1.9240439114581416,2.5536268747199524,1.0365947066354861
38440000000.0,38.44,With Lens,0.12392867408540413,0.07625068712263787,0.06431995019986315,1.9267532655158648,2.5524946134377857,1.0383486280388672
38445000000.0,38.445,With Lens,0.12403731021820986,0.07631667969200184,0.06435066286749526,1.9275218729854524,2.552196717271441,1.0397777070162928
38450000000.0,38.45,With Lens,0.12407056442231557,0.07632621490933028,0.06437777072366128,1.9272267900496731,2.5522187906550333,1.0402460157015243
38455000000.0,38.455,With Lens,0.12403740728305739,0.07623790365851305,0.06437191244072989,1.9268870937656886,2.5517894413088076,1.039410003693587
38460000000.0,38.46,With Lens,0.12396828385912953,0.07605645348062896,0.06434014862207021,1.926764027035608,2.550689790331808,1.0375785455476425
38465000000.0,38.465,With Lens,0.12389729799310156,0.0758339139203895,0.06433353428578292,1.9258587200063348,2.5495474620774337,1.035619562157044
38470000000.0,38.47,With Lens,0.12385205499901662,0.07563526934144237,0.06440752647520927,1.922943820031465,2.549224515877391,1.0344507309111073
38475000000.0,38.475,With Lens,0.12384622959996396,0.07551011652605993,0.06455299143219165,1.918520379184219,2.5498822461170794,1.0344329397486833
38480000000.0,38.48,With Lens,0.12387348086969573,0.07547668719881524,0.06468017055229702,1.915169360438499,2.5507340978885966,1.0351375875138549
38485000000.0,38.485,With Lens,0.12391091005994974,0.07551293450666717,0.06468940047160443,1.9154747015214761,2.5507311641086936,1.035704201678784
38490000000.0,38.49,With Lens,0.12393277326775046,0.07557599654180468,0.06455352408650905,1.9198451985621494,2.5494895922878014,1.0355202046483525
38495000000.0,38.495,With Lens,0.12392116744097588,0.07564420621766499,0.06433482123297456,1.926191214431487,2.547715908653194,1.0346546171984126
38500000000.0,38.5,With Lens,0.12386758542302248,0.07572818731966947,0.0641353901630538,1.931345316651373,2.546742505084707,1.0336624274285566
38505000000.0,38.505,With Lens,0.12377275374873009,0.0758255437704064,0.06404312049819869,1.932647141268068,2.547544928257002,1.0330103283580714
38510000000.0,38.51,With Lens,0.12365264667753294,0.07588995192758269,0.06409172072397129,1.9293076434954406,2.54995228787091,1.0327217187906022
38515000000.0,38.515,With Lens,0.12353847474758894,0.07587255878558762,0.06424500269331256,1.922927380629535,2.5528043499125754,1.0325477667240608
38520000000.0,38.52,With Lens,0.12346563212071843,0.07578687961042313,0.06441882238217252,1.916608027825214,2.5548634471089122,1.032394893136987
38525000000.0,38.525,With Lens,0.12346023565163292,0.07570756290724824,0.06453806905085006,1.9129831038848963,2.5556105420707884,1.032516826447954
38530000000.0,38.53,With Lens,0.12353293371670906,0.07570624340150614,0.06457501994600416,1.9130142556673444,2.5552170143916446,1.0332826711551066
38535000000.0,38.535,With Lens,0.1236771546275937,0.07579849718775107,0.06453742767158156,1.916363249817807,2.553975898090234,1.0347779556136256
38540000000.0,38.54,With Lens,0.12386421526753544,0.07593754461994083,0.06444380151582997,1.922050101856723,2.55201968749415,1.0365933052277314
38545000000.0,38.545,With Lens,0.1240467648839301,0.07604094751829912,0.06433034062132154,1.928277756434205,2.5495904651859203,1.0380489614229367
38550000000.0,38.55,With Lens,0.12417555374549732,0.07603957103660407,0.06426056896396973,1.9323755725711258,2.547376191312527,1.0386771020242194
38555000000.0,38.555,With Lens,0.12421944893462157,0.07593284841012123,0.06429138173107316,1.932132201703547,2.5463581847765537,1.0385367422072798
38560000000.0,38.56,With Lens,0.12417647852617282,0.07579855229646193,0.06441805261591352,1.9276658247737355,2.5471452812894086,1.0380644992361892
38565000000.0,38.565,With Lens,0.12407345258187563,0.07572173805376385,0.06457103502982782,1.9215032332153477,2.549363026450161,1.0376154595513092
38570000000.0,38.57,With Lens,0.1239589891604626,0.07571579853663568,0.06466683444311161,1.9168866116295082,2.551650185617902,1.0371992159609944
38575000000.0,38.575,With Lens,0.12388516502074794,0.07572960475949259,0.06466269317101625,1.9158676965882542,2.5525296228739105,1.0366790433893596
38580000000.0,38.58,With Lens,0.12387871038316806,0.0757221900604899,0.06457737779774658,1.918298862662875,2.551577204544905,1.036117368596049
38585000000.0,38.585,With Lens,0.12392305946716144,0.07570257004170773,0.06448137041855409,1.9218428309256808,2.549842127660499,1.0358237814294688
38590000000.0,38.59,With Lens,0.12396972729713765,0.07569884051517892,0.06445517627000105,1.9233478902893957,2.5490020269684672,1.0360262508001585
38595000000.0,38.595,With Lens,0.12396918653488259,0.07571870078153826,0.0645239278814067,1.9212901415849128,2.549951001583134,1.0365179227163956
38600000000.0,38.6,With Lens,0.12389794759165956,0.07574717876079722,0.06462813834076314,1.9170898431018701,2.5521467862903657,1.0366986956106123
38605000000.0,38.605,With Lens,0.1237649916591909,0.07576215316283508,0.06467454706773819,1.9136584215976518,2.554254090366976,1.0359956740113443
38610000000.0,38.61,With Lens,0.12360513674888568,0.07574940374878979,0.06462342288406386,1.9126986970442061,2.55532801140851,1.034379267215938
38615000000.0,38.615,With Lens,0.12346315854615271,0.07572179540727507,0.06451664752049176,1.9136635781786147,2.555455100728208,1.0325101134598167
38620000000.0,38.62,With Lens,0.12337350311034082,0.07572372028216129,0.06442764427318806,1.9149156313586249,2.5554518352250915,1.0313312918256348
38625000000.0,38.625,With Lens,0.1233471979481093,0.0757907333006606,0.06440242189745445,1.9152571334120077,2.5560114381398042,1.0313968153832191
38630000000.0,38.63,With Lens,0.12337760381961628,0.07589943476849406,0.06444125473591474,1.9145748220643326,2.557014814956711,1.032512901096735
38635000000.0,38.635,With Lens,0.12345562022002672,0.07598340101027982,0.06451193641004556,1.9136864755590048,2.557649153389592,1.0340264949804918
38640000000.0,38.64,With Lens,0.12357427531897301,0.07600413060205265,0.06457016420024889,1.9137983749853418,2.557175836439035,1.0354053367737641
38645000000.0,38.645,With Lens,0.1237186435996392,0.07598527272265802,0.06458741356745344,1.9155224952680698,2.555632282858132,1.036521103420319
38650000000.0,38.65,With Lens,0.12386198530207268,0.07596592807079153,0.06457045195088659,1.9182455993382896,2.553709858627307,1.0374396892083464
38655000000.0,38.655,With Lens,0.12397530911335335,0.07594377949227929,0.06454733424704867,1.9206882911515735,2.5520231636245683,1.0380713153341325
38660000000.0,38.66,With Lens,0.12404082740400785,0.07588008956452552,0.0645343228107771,1.9220907883036356,2.550628472877333,1.038126932567459
38665000000.0,38.665,With Lens,0.12405686104375171,0.07574593831209649,0.06453105796500379,1.922436497337913,2.5492963934493904,1.0374146686777614
38670000000.0,38.67,With Lens,0.12403764827651606,0.07555320620654003,0.0645445142533353,1.9217380394199264,2.5480428513113864,1.0361588444371115
38675000000.0,38.675,With Lens,0.12401110286975801,0.07535925408856492,0.06458914710815104,1.9199990775866433,2.547201937553919,1.0350098248938053
38680000000.0,38.68,With Lens,0.12400519981368852,0.07524786801630587,0.06465246884418344,1.9180272931656939,2.5470361378104562,1.0346302636674043
38685000000.0,38.685,With Lens,0.1240309853262079,0.07527601136902147,0.0646832251610904,1.9175139306569025,2.5473371443234423,1.035172848153462
38690000000.0,38.69,With Lens,0.1240751065243617,0.07541869077444247,0.06463225486638105,1.9197087705027647,2.547485807699807,1.0361120333264218
38695000000.0,38.695,With Lens,0.12411058248448292,0.07558003864671772,0.06450286668853725,1.924109560645907,2.546996101248207,1.0366709098054963
38700000000.0,38.7,With Lens,0.1241106593411088,0.07567758215734458,0.06435576100232489,1.928508923025947,2.5461497354127687,1.036466649747506
38705000000.0,38.705,With Lens,0.12405655298220357,0.07570232107450528,0.06427357194314708,1.9301331672049795,2.5460194415253627,1.035744350081838
38710000000.0,38.71,With Lens,0.12394224009356138,0.07569267802596122,0.06431522583435019,1.9271057278534025,2.547667802990269,1.0350104360180246
38715000000.0,38.715,With Lens,0.12378226272584805,0.07567359636026158,0.06447652389036447,1.9198036007078598,2.5510926375428036,1.0345105317296477
38720000000.0,38.72,With Lens,0.1236112597365021,0.07564486360634026,0.0646813045736082,1.9110817345347575,2.5550410647058053,1.034104356377682
38725000000.0,38.725,With Lens,0.12347269218274445,0.07561200058365992,0.06482509754209179,1.9047050735646331,2.5579048251699534,1.0335980162342309
38730000000.0,38.73,With Lens,0.1234002208378905,0.07559915679384756,0.0648538736906822,1.9027424857679685,2.5589169930515006,1.0331063741854476
38735000000.0,38.735,With Lens,0.12340854861677404,0.07563612600321547,0.06479845124491516,1.9044984292963036,2.558512401896973,1.0330946669695857
38740000000.0,38.74,With Lens,0.12348943776872295,0.07574396494063186,0.06473080570548678,1.9077383082573867,2.557761398456851,1.0340210462787693
38745000000.0,38.745,With Lens,0.12361103436617847,0.07591616445857256,0.06469645795958547,1.9106306321034718,2.5574683984259146,1.035845006394111
38750000000.0,38.75,With Lens,0.12372876741197397,0.07609639960720817,0.06469534920116621,1.9124831837176886,2.557653552477376,1.0378712894984632
38755000000.0,38.755,With Lens,0.12380636850146536,0.07619529462978797,0.06470665640062781,1.9133482610339936,2.557745105320975,1.0391515140081533
38760000000.0,38.76,With Lens,0.12383286420382904,0.07615874500618756,0.06471180311793996,1.913605528471189,2.5572127434094494,1.0391640575929966
38765000000.0,38.765,With Lens,0.123821180379988,0.07601902952891999,0.0647028112432876,1.9136908891703444,2.5560873482447635,1.0381657989247681
38770000000.0,38.77,With Lens,0.12379597893308139,0.07585472082256815,0.0646884357279857,1.9137265809555573,2.554840347651699,1.0368821206468195
38775000000.0,38.775,With Lens,0.12378431024655276,0.07571044269836313,0.0646902249936863,1.9134932713347956,2.5537871694423306,1.0359172938916552
38780000000.0,38.78,With Lens,0.12380816817226652,0.07557623949183001,0.0647187173237171,1.913019498717649,2.5527226729180414,1.0354409329672487
38785000000.0,38.785,With Lens,0.12387225525793877,0.07543587981238664,0.06475979808138871,1.912795575771543,2.5512991355827643,1.0353139482172806
38790000000.0,38.79,With Lens,0.12395847018286762,0.07530602829561611,0.0647918778326959,1.9131791565441327,2.5496123975266083,1.0353774920523047
38795000000.0,38.795,With Lens,0.1240339582832594,0.07522760283939282,0.0648056823799827,1.9139364593986783,2.548269709781085,1.035570625620952
38800000000.0,38.8,With Lens,0.12406798913048331,0.07524075515171567,0.06479300170697579,1.9148362610452392,2.547864030480909,1.0358497301663052
