scenario,lens_angle_deg,yz_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,100.07999420,100.07999420,90.00000000,-5.15308619
Simul_-45deg,-45,100.43999481,100.43999481,90.00000000,-5.07708454
Simul_-45deg,-45,100.79999542,100.79999542,90.00000000,-4.99929810
Simul_-45deg,-45,101.15999603,101.15999603,90.00000000,-4.91984415
Simul_-45deg,-45,101.51998901,101.51998901,90.00000000,-4.83883667
Simul_-45deg,-45,101.87999725,101.87999725,90.00000000,-4.75639057
Simul_-45deg,-45,102.23999786,102.23999786,90.00000000,-4.66449690
Simul_-45deg,-45,102.59999847,102.59999847,90.00000000,-4.56834602
Simul_-45deg,-45,102.95999146,102.95999146,90.00000000,-4.47225523
Simul_-45deg,-45,103.31999207,103.31999207,90.00000000,-4.37625694
Simul_-45deg,-45,103.67999268,103.67999268,90.00000000,-4.28040123
Simul_-45deg,-45,104.03999329,104.03999329,90.00000000,-4.18499660
Simul_-45deg,-45,104.39999390,104.39999390,90.00000000,-4.09222555
Simul_-45deg,-45,104.75999451,104.75999451,90.00000000,-4.00001335
Simul_-45deg,-45,105.11999512,105.11999512,90.00000000,-3.90836859
Simul_-45deg,-45,105.47999573,105.47999573,90.00000000,-3.81729221
Simul_-45deg,-45,105.83998871,105.83998871,90.00000000,-3.72679281
Simul_-45deg,-45,106.19999695,106.19999695,90.00000000,-3.64334345
Simul_-45deg,-45,106.55999756,106.55999756,90.00000000,-3.56550908
Simul_-45deg,-45,106.91999054,106.91999054,90.00000000,-3.48807621
Simul_-45deg,-45,107.27999115,107.27999115,90.00000000,-3.41104460
Simul_-45deg,-45,107.63999176,107.63999176,90.00000000,-3.33442259
Simul_-45deg,-45,108.00000000,108.00000000,90.00000000,-3.25820589
Simul_-45deg,-45,108.35999298,108.35999298,90.00000000,-3.20005393
Simul_-45deg,-45,108.71999359,108.71999359,90.00000000,-3.14195848
Simul_-45deg,-45,109.07999420,109.07999420,90.00000000,-3.08392549
Simul_-45deg,-45,109.43999481,109.43999481,90.00000000,-3.02596807
Simul_-45deg,-45,109.79998779,109.79998779,90.00000000,-2.96808910
