scenario,lens_angle_deg,horizontal_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,-124.19998932,90.00000000,-124.19998932,1.55098069
Simul_-45deg,-45,-123.83999634,90.00000000,-123.83999634,1.48928535
Simul_-45deg,-45,-123.47998810,90.00000000,-123.47998810,1.34992146
Simul_-45deg,-45,-123.12000275,90.00000000,-123.12000275,1.22137892
Simul_-45deg,-45,-122.75999451,90.00000000,-122.75999451,1.10477066
Simul_-45deg,-45,-122.39998627,90.00000000,-122.39998627,1.00118637
Simul_-45deg,-45,-122.03999329,90.00000000,-122.03999329,0.91165972
Simul_-45deg,-45,-121.67999268,90.00000000,-121.67999268,0.72244501
Simul_-45deg,-45,-121.31999969,90.00000000,-121.31999969,0.52463895
Simul_-45deg,-45,-120.95999146,90.00000000,-120.95999146,0.33314511
Simul_-45deg,-45,-120.59999084,90.00000000,-120.59999084,0.14926431
Simul_-45deg,-45,-120.23999786,90.00000000,-120.23999786,-0.02562360
Simul_-45deg,-45,-119.87998962,90.00000000,-119.87998962,-0.22875705
Simul_-45deg,-45,-119.51999664,90.00000000,-119.51999664,-0.50812918
Simul_-45deg,-45,-119.15999603,90.00000000,-119.15999603,-0.79116094
Simul_-45deg,-45,-118.79998779,90.00000000,-118.79998779,-1.07730258
Simul_-45deg,-45,-118.43999481,90.00000000,-118.43999481,-1.36585832
Simul_-45deg,-45,-118.07998657,90.00000000,-118.07998657,-1.65596628
Simul_-45deg,-45,-117.72000122,90.00000000,-117.72000122,-2.02116728
Simul_-45deg,-45,-117.35999298,90.00000000,-117.35999298,-2.42085552
Simul_-45deg,-45,-117.00000000,90.00000000,-117.00000000,-2.83602691
Simul_-45deg,-45,-116.63999176,90.00000000,-116.63999176,-3.26751423
Simul_-45deg,-45,-116.27999115,90.00000000,-116.27999115,-3.71597004
Simul_-45deg,-45,-115.91999817,90.00000000,-115.91999817,-4.16162157
Simul_-45deg,-45,-115.55998993,90.00000000,-115.55998993,-4.53800678
Simul_-45deg,-45,-115.19999695,90.00000000,-115.19999695,-4.90206337
Simul_-45deg,-45,-114.83999634,90.00000000,-114.83999634,-5.24741268
Simul_-45deg,-45,-114.47999573,90.00000000,-114.47999573,-5.56653023
Simul_-45deg,-45,-114.11999512,90.00000000,-114.11999512,-5.85109472
Simul_-45deg,-45,-113.75999451,90.00000000,-113.75999451,-5.84894276
Simul_-45deg,-45,-113.39999390,90.00000000,-113.39999390,-5.67463779
